DATA, AA, ACAP, AEXP, B, DOCU, ETAT, KLOC, PCAP, PCON, PMAT, PR, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, CPLX, FLEX, LTEX, PLEX, EFFORT-, MONTHS-, DEFECTS-, RISKS-
3.578,5.409,4.283,4.368,5.389,3.645,1.671,100.803,3.183,4.056,2.224,3.452,3.86,3.311,2.14,2.977,4.566,3.0,1.243,3.031,3.018,3.713,2.0,1.872,1.625,2.79,1.088,551.123,25.394,3311.07,1.072
3.064,5.735,3.461,3.213,4.626,2.951,1.111,19.913,3.204,2.33,2.592,4.528,3.054,3.101,1.269,4.95,4.355,3.0,2.629,3.463,1.311,3.998,2.0,3.718,1.995,2.337,2.142,93.212,14.609,1056.393,1.34
3.602,3.169,4.949,2.814,7.445,3.984,4.536,155.971,3.17,2.716,2.111,4.982,2.099,2.524,1.086,2.926,3.842,3.0,1.161,3.961,1.147,3.482,2.0,3.234,4.417,2.587,1.153,865.306,29.436,9854.235,2.681
2.051,5.834,3.387,2.7,9.327,4.353,4.263,23.893,3.182,4.779,2.883,4.701,4.578,3.185,2.741,1.477,3.902,3.0,1.276,3.978,2.504,3.795,2.0,1.432,2.964,1.475,1.353,191.008,18.33,493.882,0.536
3.125,4.506,4.611,3.583,6.031,4.146,3.229,62.761,3.268,2.237,2.713,5.839,1.295,4.049,1.011,2.838,5.094,3.0,1.946,3.809,2.271,3.945,2.0,2.723,4.697,2.843,3.133,393.82,22.78,2286.238,1.877
4.128,3.309,4.007,2.051,7.984,4.879,4.512,298.166,3.028,4.412,2.738,1.923,1.707,4.078,1.144,2.618,5.124,3.0,2.245,3.157,1.154,3.898,2.0,1.606,4.575,3.14,1.993,1451.768,34.521,22922.346,2.949
2.798,1.858,4.576,2.959,5.189,2.772,3.515,143.077,3.72,4.935,2.931,4.654,4.351,4.713,2.803,4.624,3.002,3.0,2.72,3.369,2.504,3.459,2.0,3.077,4.366,2.64,1.292,613.378,25.087,3148.708,0.536
3.992,4.31,4.325,3.391,3.967,2.344,4.829,300.397,4.432,3.816,2.667,3.554,4.461,3.852,3.103,1.846,4.424,3.0,4.372,3.77,4.378,3.996,2.0,3.311,3.283,3.905,3.454,892.796,28.267,2825.454,0.0
2.409,1.249,3.245,2.439,9.313,2.23,5.852,45.612,3.672,3.231,2.64,1.363,4.103,4.651,1.097,2.977,4.714,3.0,3.063,3.52,4.047,3.575,2.0,3.257,2.029,1.339,3.334,176.61,17.47,2939.11,1.34
4.251,2.169,3.483,2.32,7.163,1.08,1.086,158.649,4.024,1.833,2.183,3.24,3.494,3.946,1.003,3.81,4.781,3.0,2.705,3.35,4.014,3.705,2.0,1.307,4.49,2.657,2.942,475.31,23.027,12229.439,2.145
3.183,1.546,3.095,2.96,4.789,3.801,1.879,319.637,3.476,2.416,2.874,4.981,2.68,2.791,3.282,2.125,5.218,3.0,2.102,3.163,4.824,3.481,2.0,2.156,3.176,1.729,2.544,2593.926,40.306,9798.358,0.268
2.533,3.495,3.809,3.004,8.699,4.4,1.463,256.678,3.632,1.608,2.905,4.494,1.958,4.418,1.149,1.671,2.574,3.0,1.283,3.927,1.514,3.205,2.0,3.355,1.919,3.231,1.587,1796.676,38.081,25045.604,1.609
2.702,2.109,4.622,4.284,8.36,3.072,2.118,129.568,4.259,4.443,2.919,4.598,4.772,3.553,1.238,4.84,4.155,3.0,5.721,3.102,4.978,3.797,2.0,3.886,4.734,2.467,3.917,97.508,14.003,618.058,2.145
4.746,3.995,4.622,2.301,4.218,3.04,2.301,289.456,4.091,2.093,2.306,5.982,4.81,2.345,2.345,4.048,2.005,3.0,5.26,3.992,2.31,3.437,2.0,1.766,2.394,3.029,2.882,668.756,26.355,1958.089,2.145
3.608,1.577,3.207,4.454,6.86,2.786,2.542,244.173,3.575,1.763,2.639,1.552,2.169,3.447,2.231,4.921,5.566,3.0,5.236,3.913,4.538,3.275,2.0,2.271,3.578,3.957,3.837,544.5,24.031,4231.728,0.0
3.722,3.667,3.682,2.398,5.218,3.59,4.582,207.908,4.939,4.896,2.043,1.351,1.887,3.616,3.054,4.852,4.613,3.0,1.482,3.111,1.868,3.501,2.0,1.479,1.164,3.22,3.274,1385.447,34.672,6999.043,1.609
3.56,4.595,4.069,3.35,7.426,1.618,2.3,128.173,4.699,1.151,2.142,5.996,2.435,4.386,3.854,1.719,2.368,3.0,5.996,3.261,2.783,3.251,2.0,2.603,4.601,2.192,1.035,350.383,21.949,1613.783,0.0
2.761,1.878,4.732,2.265,7.321,1.849,4.82,221.781,4.86,1.12,2.906,1.994,3.168,2.731,2.599,3.078,2.98,3.0,1.795,3.63,4.092,3.268,2.0,1.978,2.541,1.962,1.734,786.151,27.521,10899.032,2.145
4.495,1.364,3.437,4.38,5.994,4.459,2.197,336.795,4.794,3.684,2.98,5.487,1.398,2.238,3.733,2.416,4.844,3.0,3.693,3.139,3.184,3.451,2.0,3.569,3.268,2.808,3.638,1173.028,32.342,4219.3,0.0
2.493,3.266,4.005,3.216,8.434,2.043,2.603,89.891,4.54,2.693,2.312,3.71,2.233,4.572,2.585,4.74,5.344,3.0,2.342,3.225,3.072,3.369,2.0,2.028,2.216,1.738,2.491,326.747,21.356,4716.406,1.072
2.6,1.55,4.996,2.918,7.957,3.752,2.021,205.187,3.846,2.771,2.681,1.317,4.872,3.877,1.006,2.914,3.388,3.0,4.558,3.595,1.144,3.929,2.0,1.542,1.627,2.551,1.7,712.793,27.762,11132.867,2.681
4.102,3.569,3.634,4.609,7.351,4.197,3.994,139.549,4.155,2.432,2.043,2.932,4.324,3.053,1.327,2.85,3.199,3.0,4.904,3.511,4.369,3.493,2.0,2.191,2.203,3.171,3.331,224.832,18.807,1394.578,1.609
4.907,3.439,3.279,3.94,5.74,3.005,5.518,132.623,4.797,2.634,2.158,2.51,4.957,4.484,2.677,1.209,5.557,3.0,3.151,3.798,4.46,3.601,2.0,1.035,4.975,1.771,1.797,592.928,24.578,4400.168,1.072
2.535,3.512,4.79,3.643,5.11,3.113,4.495,121.11,3.8,4.765,2.1,4.031,1.742,2.614,3.449,4.073,4.004,3.0,4.156,3.979,1.417,3.563,2.0,2.063,2.614,3.231,3.634,260.769,20.542,1385.065,0.0
2.536,1.518,4.0,2.346,4.695,4.398,5.941,370.842,3.829,2.436,2.822,5.122,3.982,2.045,2.063,4.277,4.209,3.0,2.985,3.843,2.101,3.097,2.0,1.842,3.971,2.873,1.436,1023.407,29.505,5687.427,1.072
3.175,4.593,4.019,3.2,8.805,4.613,4.168,177.168,4.282,3.116,2.014,1.523,2.416,2.196,2.206,3.703,5.384,3.0,1.163,3.731,3.611,3.123,2.0,2.042,3.744,1.909,3.926,597.965,25.602,6576.786,1.072
3.603,2.237,3.779,2.868,4.896,4.158,3.073,284.672,3.571,1.402,2.304,2.636,2.713,4.984,1.009,2.017,2.425,3.0,2.863,3.809,3.089,3.989,2.0,1.495,2.115,3.193,3.12,1257.877,32.644,21036.781,1.072
3.755,3.16,3.637,2.405,7.305,3.542,4.814,160.716,4.494,1.454,2.878,1.283,2.385,4.775,1.44,1.12,5.973,3.0,5.801,3.339,3.557,3.225,2.0,3.485,4.403,3.469,1.379,824.712,28.331,6289.789,1.609
4.646,1.914,3.411,4.636,9.818,3.421,2.326,312.127,4.751,4.986,2.583,2.279,4.469,3.374,3.497,1.629,3.424,3.0,4.554,3.445,3.784,3.616,2.0,3.35,3.659,1.237,2.174,692.706,26.53,6230.92,0.0
3.083,3.646,4.592,2.161,7.696,4.993,2.671,170.662,3.106,4.405,2.79,3.305,3.687,2.293,2.397,4.046,3.621,3.0,1.558,3.195,3.154,3.901,2.0,1.967,1.701,1.213,1.285,1103.644,30.553,5666.604,1.34
3.957,4.143,3.069,2.435,9.809,2.034,2.076,151.128,4.437,3.765,2.248,4.806,3.208,3.201,2.881,2.061,4.421,3.0,1.38,3.908,2.919,3.318,2.0,3.859,1.35,2.874,3.82,668.659,27.278,6568.701,0.804
4.262,1.486,4.245,2.356,5.798,4.478,1.836,327.427,4.525,1.513,2.848,1.791,3.376,3.683,1.402,3.79,2.317,3.0,3.912,3.077,1.619,3.171,2.0,2.515,3.893,2.693,2.47,844.261,28.238,19754.189,2.681
4.307,5.392,4.748,3.434,8.581,4.704,4.764,15.81,3.681,1.713,2.317,3.723,3.896,3.891,3.664,1.066,2.195,3.0,1.265,3.271,1.206,3.93,2.0,2.327,2.312,1.529,3.681,152.816,17.443,601.749,0.804
4.386,3.42,4.243,3.52,6.689,4.436,2.721,188.994,4.658,2.405,2.698,3.396,1.405,2.522,2.536,4.171,4.241,3.0,1.685,3.645,2.14,3.008,2.0,3.971,4.861,2.047,3.852,789.66,27.48,8827.187,1.34
4.489,2.78,3.597,2.607,5.47,2.101,3.669,89.479,4.693,4.056,2.209,2.487,4.736,4.476,1.298,4.846,3.603,3.0,4.513,3.032,4.006,3.755,2.0,2.767,1.61,2.088,1.038,401.881,22.39,2560.056,1.609
3.076,2.939,4.293,2.244,7.983,4.58,1.516,194.712,4.381,3.49,2.622,2.6,2.336,2.238,3.545,3.663,4.809,3.0,5.873,3.882,4.117,3.667,2.0,3.239,4.729,1.886,1.167,653.803,25.489,3063.751,0.0
2.92,2.141,3.195,3.217,7.41,4.586,4.974,103.767,4.724,4.988,2.741,5.676,1.017,4.389,1.731,3.782,3.046,3.0,2.27,3.751,1.124,3.742,2.0,3.979,2.999,2.406,3.178,381.331,22.926,3130.692,1.877
3.925,5.31,3.139,2.974,9.194,3.171,1.072,54.197,4.689,4.531,2.752,1.817,2.037,3.19,1.306,1.407,3.532,3.0,5.636,3.451,3.916,3.357,2.0,2.254,1.261,1.967,2.088,154.285,17.675,1199.117,1.609
2.056,4.759,3.761,4.508,7.443,3.257,3.156,14.61,4.513,4.982,2.113,4.618,3.327,3.196,2.573,1.958,5.14,3.0,2.767,3.102,3.823,3.911,2.0,1.951,4.82,3.907,3.727,30.146,10.3,113.245,1.072
3.16,3.811,4.056,4.326,4.049,2.715,4.609,138.851,4.105,1.606,2.584,4.83,2.975,4.571,2.944,1.898,4.691,3.0,2.683,3.054,3.651,3.507,2.0,2.186,3.518,2.572,2.66,504.338,24.379,3358.69,1.072
3.557,4.324,3.736,2.415,5.87,4.972,5.208,364.339,4.132,2.697,2.041,3.391,1.287,2.062,2.641,1.251,2.421,3.0,1.99,3.069,4.806,3.87,2.0,3.213,3.194,1.428,1.74,2355.696,40.243,11204.307,0.536
4.603,5.699,4.375,3.628,9.393,3.958,4.652,265.49,4.476,3.808,2.41,3.972,1.085,2.16,1.883,4.524,2.04,3.0,3.229,3.127,4.466,3.863,2.0,3.045,2.664,1.854,3.221,535.935,24.758,2690.609,2.145
2.74,2.194,4.33,3.607,7.551,2.519,2.018,104.192,4.715,2.749,2.717,5.279,3.983,4.58,2.883,4.336,2.898,3.0,2.547,3.774,4.746,3.914,2.0,1.362,4.289,1.65,1.801,397.171,21.543,1826.036,2.145
4.95,2.305,3.218,3.938,4.35,1.091,5.989,377.803,4.17,4.583,2.3,3.319,2.402,3.348,3.445,3.314,2.141,3.0,4.062,3.994,2.841,3.701,2.0,3.1,1.812,2.416,3.266,817.597,29.302,6994.857,0.0
3.984,2.85,3.902,3.585,3.972,4.117,5.542,386.722,4.034,4.542,2.194,5.571,4.961,3.238,3.608,4.484,5.538,3.0,3.533,3.098,2.755,3.637,2.0,3.879,2.734,2.24,1.11,1233.209,31.237,3888.82,0.0
4.536,4.057,4.677,4.294,3.944,1.377,3.761,154.774,4.767,1.009,2.356,3.688,4.925,2.599,1.956,4.253,2.494,3.0,5.222,3.471,4.29,3.13,2.0,1.395,4.732,3.484,3.519,122.948,15.224,786.605,3.217
3.135,4.41,4.583,2.672,8.926,2.568,2.347,325.389,3.89,3.409,2.479,5.683,4.921,3.064,3.355,3.904,3.492,3.0,5.346,3.902,4.749,3.965,2.0,2.727,2.94,3.707,1.226,515.235,23.786,1549.388,0.0
3.617,3.668,3.838,3.971,8.661,4.393,2.188,347.697,4.22,2.913,2.132,5.312,1.395,4.906,1.479,1.376,4.641,3.0,1.521,3.614,4.817,3.726,2.0,1.842,3.253,2.134,3.536,1293.345,33.571,11636.062,2.145
2.227,3.704,4.668,3.138,8.623,2.622,5.699,305.287,4.044,1.076,2.379,1.85,2.494,3.21,1.33,3.323,2.446,3.0,4.252,3.564,1.435,3.101,2.0,2.356,2.994,2.515,1.199,847.719,29.687,12638.762,2.145
4.725,5.875,4.078,3.596,8.982,1.336,3.992,273.593,4.853,2.136,2.845,1.594,1.988,3.309,2.844,4.772,2.852,3.0,1.883,3.268,1.992,3.613,2.0,3.888,3.012,2.117,1.034,1246.0,32.001,17598.891,1.609
2.277,2.733,4.18,4.906,8.885,3.642,2.445,49.145,3.603,4.261,2.446,5.526,3.277,3.855,3.584,3.467,2.786,3.0,2.36,3.599,1.166,3.087,2.0,3.692,2.867,3.803,3.458,153.003,17.161,610.857,0.268
4.579,4.599,4.152,3.833,4.037,4.822,3.886,88.656,3.798,4.044,2.384,2.636,4.748,4.883,2.84,3.435,3.253,3.0,3.203,3.412,4.217,3.893,2.0,1.105,2.127,2.34,2.575,337.101,21.424,1231.124,1.072
3.958,3.598,3.931,4.98,5.324,3.446,3.641,324.538,3.439,3.08,2.756,4.123,1.019,4.659,3.727,4.921,5.724,3.0,2.603,3.799,3.8,3.711,2.0,3.176,2.725,1.768,1.849,1790.094,35.093,10584.984,0.268
2.182,5.12,3.336,3.082,4.217,1.166,4.959,223.95,4.547,1.614,2.589,5.726,1.506,3.254,3.397,2.288,3.31,3.0,2.235,3.664,1.132,3.179,2.0,1.525,2.005,2.63,3.522,570.619,26.628,4844.726,0.804
4.069,3.107,4.755,2.32,7.891,3.707,3.034,370.152,3.371,3.324,2.897,4.639,3.642,3.155,1.912,4.606,3.366,3.0,3.637,3.316,1.896,3.277,2.0,1.916,1.382,3.704,1.678,1009.694,30.256,6810.465,2.681
3.321,5.144,4.442,4.238,8.983,3.841,2.229,268.543,3.004,1.811,2.496,3.567,4.188,4.266,2.69,3.635,5.638,3.0,4.562,3.448,4.336,3.646,2.0,3.764,1.04,2.603,1.326,1413.925,32.944,5209.498,0.536
2.521,4.809,4.61,3.247,9.775,4.782,3.933,298.487,4.575,3.233,2.156,3.327,3.488,4.514,1.325,2.724,4.116,3.0,2.853,3.22,2.482,3.231,2.0,1.844,4.135,3.598,3.37,374.052,21.936,5832.426,3.217
3.954,1.218,4.76,2.831,6.678,3.2,3.197,97.402,3.263,2.128,2.839,4.388,3.891,3.671,2.519,2.421,5.008,3.0,5.465,3.071,4.907,3.323,2.0,1.513,1.997,3.229,3.286,263.071,19.749,882.389,1.072
3.937,2.386,3.107,2.9,7.548,3.709,1.612,122.902,4.082,1.092,2.397,5.796,3.12,4.457,2.584,1.542,3.692,3.0,2.58,3.626,1.865,3.848,2.0,1.392,1.98,2.6,2.022,803.323,29.168,6942.997,1.877
4.704,1.123,3.796,3.694,7.218,4.199,3.692,292.197,4.03,2.479,2.606,4.335,2.031,2.673,1.753,2.67,2.355,3.0,3.388,3.758,2.469,3.552,2.0,1.069,2.587,1.506,1.583,1233.964,33.087,11883.947,2.145
4.234,2.064,4.84,3.937,7.191,4.42,5.733,295.841,4.479,3.489,2.136,2.979,4.433,4.461,3.953,1.173,5.848,3.0,2.228,3.69,4.134,3.208,2.0,2.614,1.668,2.287,2.874,1342.964,33.312,7055.508,0.0
4.882,4.69,3.373,4.806,6.77,2.297,4.857,22.023,4.396,3.721,2.016,2.583,4.943,3.651,3.534,1.663,3.222,3.0,2.825,3.773,4.342,3.341,2.0,2.846,4.536,3.603,1.96,118.714,15.452,301.607,0.0
3.601,4.85,3.762,4.097,8.872,3.139,2.166,126.61,3.146,1.474,2.808,5.512,1.093,2.168,3.301,1.945,4.548,3.0,3.148,3.004,3.806,3.608,2.0,1.632,4.878,3.839,1.04,488.401,24.328,1773.906,0.0
4.165,4.287,3.35,4.976,4.261,3.844,1.243,270.465,3.918,3.295,2.158,4.285,1.443,3.34,2.795,3.365,3.378,3.0,5.644,3.403,2.094,3.456,2.0,3.87,1.899,1.414,2.887,1012.951,31.334,5038.198,0.268
4.562,2.152,4.75,4.145,6.29,4.684,1.176,100.947,3.698,2.838,2.239,1.494,4.012,2.095,3.355,4.167,5.33,3.0,4.649,3.882,1.976,3.037,2.0,1.364,3.243,2.311,2.752,422.699,23.196,2571.877,0.536
2.252,3.586,3.686,2.277,4.362,3.708,3.353,110.845,4.501,3.157,2.906,4.964,1.23,4.272,3.415,4.093,2.236,3.0,3.062,3.126,4.61,3.342,2.0,1.255,4.445,1.837,1.8,360.165,21.331,1570.188,0.536
4.254,4.898,4.403,4.669,6.679,4.035,5.003,189.856,4.088,4.053,2.719,3.734,3.083,3.17,3.695,1.014,2.746,3.0,3.942,3.66,1.35,3.335,2.0,3.385,1.127,1.352,2.777,1007.146,31.976,3196.09,0.0
3.206,4.105,3.742,3.484,3.445,4.03,5.297,309.599,3.547,1.267,2.946,2.157,1.884,2.848,3.058,1.173,5.058,3.0,3.543,3.452,1.451,3.453,2.0,3.739,1.562,3.707,3.572,2113.538,40.99,11013.333,0.0
3.962,2.406,4.78,4.729,7.878,1.995,4.686,88.959,4.561,3.239,2.281,5.595,4.448,3.836,1.475,1.24,3.914,3.0,3.304,3.642,3.25,3.17,2.0,3.078,2.951,1.469,1.543,241.125,19.628,2134.71,2.145
4.712,1.541,3.542,2.999,4.167,4.647,5.823,27.645,3.312,1.166,2.736,1.534,1.339,3.626,3.007,2.953,3.593,3.0,1.226,3.653,4.106,3.395,2.0,1.198,2.279,2.868,1.597,272.38,20.141,1710.668,0.0
4.052,2.41,3.754,2.085,3.687,3.952,5.034,388.54,4.333,3.385,2.29,5.852,3.081,3.586,1.754,4.017,3.01,3.0,4.01,3.404,1.252,3.928,2.0,3.623,3.003,2.209,1.097,1986.39,37.799,11232.338,2.145
4.851,1.901,3.084,4.495,4.646,3.486,2.755,43.791,4.875,1.499,2.84,1.485,1.52,2.946,3.173,3.832,3.049,3.0,4.271,3.431,4.833,3.244,2.0,3.992,4.614,2.111,3.178,236.266,18.918,1195.107,0.0
3.484,3.49,4.145,4.723,8.266,3.926,1.2,192.074,3.144,3.248,2.449,4.769,1.723,4.03,1.346,1.101,4.71,3.0,1.943,3.924,3.059,3.919,2.0,2.353,1.277,2.302,1.169,1514.007,35.921,12751.31,1.609
3.346,1.613,4.384,3.094,6.083,4.354,4.377,26.051,4.974,3.293,2.485,2.748,3.256,4.088,2.727,1.409,3.362,3.0,2.969,3.757,1.817,3.822,2.0,2.289,2.589,3.33,3.988,101.732,15.223,866.925,1.34
2.889,4.01,4.261,4.46,7.975,1.553,5.67,269.153,4.532,2.69,2.833,3.902,2.376,3.796,3.859,2.981,3.338,3.0,5.619,3.315,1.345,3.272,2.0,3.187,3.447,2.638,3.778,553.739,25.741,2273.718,0.0
3.405,2.628,4.141,2.017,3.805,1.231,4.313,293.318,4.402,2.681,2.477,3.418,1.373,3.516,3.747,1.778,5.319,3.0,3.139,3.952,4.81,3.316,2.0,3.959,2.784,1.712,2.328,2554.46,41.34,14837.171,0.0
4.182,4.069,3.532,3.298,9.272,4.23,5.78,113.38,4.42,3.495,2.092,1.806,4.917,2.14,1.682,2.555,4.435,3.0,1.701,3.36,4.461,3.789,2.0,2.447,3.506,3.693,1.464,368.933,21.582,2030.744,1.609
3.867,2.646,3.738,4.25,4.152,2.641,1.78,251.665,3.839,2.407,2.373,2.385,3.648,3.161,3.88,1.774,3.305,3.0,1.537,3.198,2.451,3.243,2.0,2.693,1.027,3.501,1.034,1195.022,33.553,15514.044,0.268
3.675,4.949,3.317,4.745,8.309,2.693,1.058,217.87,4.329,3.966,2.461,4.484,1.156,3.865,1.913,2.009,5.667,3.0,1.324,3.258,1.655,3.301,2.0,3.391,3.126,2.985,2.029,1333.981,34.001,13384.802,2.145
3.216,4.284,4.262,3.995,5.418,3.103,3.924,154.798,3.032,2.11,2.188,2.42,1.36,4.917,3.504,4.487,5.96,3.0,4.465,3.715,2.571,3.797,2.0,1.325,2.874,2.128,1.833,1105.483,31.286,6279.25,0.536
2.844,4.202,4.434,3.524,9.627,3.525,3.015,37.311,3.51,4.796,2.379,2.148,1.713,4.134,1.223,4.957,5.052,3.0,3.171,3.895,1.96,3.849,2.0,2.662,2.611,1.533,1.08,225.993,19.389,2474.554,1.877
3.216,1.202,3.429,2.85,6.388,2.373,2.521,265.934,3.808,4.009,2.486,1.402,2.687,3.097,2.08,3.326,2.523,3.0,4.239,3.744,3.426,3.711,2.0,2.864,2.32,3.901,2.297,687.999,27.053,11156.942,0.0
4.173,4.04,4.186,2.363,4.868,1.856,1.524,211.393,4.386,1.613,2.76,1.029,1.175,3.586,2.15,3.205,3.47,3.0,2.534,3.296,4.019,3.608,2.0,1.294,3.856,3.584,1.2,1247.569,32.598,15145.693,2.145
3.829,1.911,4.031,3.203,7.222,4.243,4.708,220.487,4.48,3.347,2.773,5.491,4.837,4.032,3.341,3.773,3.574,3.0,5.268,3.741,3.733,3.706,2.0,3.27,3.443,3.483,3.762,489.886,23.315,1180.85,0.0
2.894,1.939,3.488,2.25,8.934,2.367,5.046,274.823,4.347,3.934,2.107,3.518,4.956,4.525,3.994,3.351,3.268,3.0,3.871,3.198,1.296,3.333,2.0,2.972,2.205,1.61,3.856,665.645,26.915,7046.647,0.536
4.819,4.517,3.658,4.345,6.41,1.91,2.583,53.592,3.927,4.748,2.388,5.614,3.398,4.424,1.823,4.99,2.26,3.0,2.423,3.903,3.318,3.719,2.0,2.343,4.622,2.357,2.398,131.531,15.848,852.092,1.072
4.918,3.341,3.95,3.937,3.262,2.843,3.215,91.414,3.129,3.101,2.563,3.727,1.852,3.144,2.484,4.915,3.116,3.0,1.256,3.389,1.961,3.381,2.0,1.415,1.742,1.624,1.895,561.235,26.086,5398.441,0.804
4.261,5.663,3.9,3.136,5.772,4.257,1.079,266.278,3.379,3.375,2.307,2.238,4.852,2.449,3.316,2.905,5.338,3.0,3.764,3.674,3.823,3.798,2.0,3.674,2.511,2.976,1.883,2114.639,37.304,5927.622,0.0
4.905,2.523,4.024,2.803,6.234,4.766,4.466,271.202,3.921,3.25,2.345,1.55,1.752,3.501,1.25,3.454,2.579,3.0,1.345,3.629,3.942,3.384,2.0,1.707,3.499,2.505,3.95,1279.434,31.976,12648.241,2.145
2.442,1.804,4.129,2.172,9.346,2.335,1.314,116.101,4.465,1.122,2.757,3.024,4.027,2.116,2.021,4.787,4.368,3.0,4.573,3.941,2.71,3.669,2.0,1.665,3.991,3.223,3.053,219.296,18.299,3214.606,2.145
2.494,5.955,4.294,4.225,4.181,2.865,4.864,379.874,4.606,1.034,2.134,2.51,4.633,4.805,2.774,4.779,2.141,3.0,2.537,3.882,1.331,3.51,2.0,3.167,2.86,3.396,3.002,1189.82,31.395,9081.935,1.34
2.484,3.297,3.185,4.461,3.23,3.278,3.877,346.789,3.855,3.058,2.328,1.553,3.542,4.176,3.319,3.51,5.553,3.0,4.87,3.591,4.391,3.025,2.0,3.108,3.532,2.183,3.766,688.954,25.877,5681.567,0.0
3.657,2.555,4.831,4.142,8.803,3.811,5.697,218.971,3.672,3.875,2.747,2.208,3.243,3.785,3.211,2.097,3.467,3.0,2.481,3.226,3.808,3.081,2.0,1.887,4.302,2.376,1.403,602.987,25.433,4798.932,0.536
2.06,1.946,4.878,4.136,4.0,1.655,5.399,299.916,3.27,2.856,2.983,2.584,2.951,2.922,3.202,4.312,2.716,3.0,2.939,3.025,3.211,3.938,2.0,2.802,3.682,2.998,2.542,764.925,27.346,5603.74,0.0
2.57,3.344,4.229,2.447,6.155,1.175,3.489,184.619,4.179,1.414,2.445,4.541,1.019,4.045,3.044,1.299,3.05,3.0,1.423,3.32,3.796,3.933,2.0,3.837,1.811,3.333,3.274,974.753,31.621,10452.79,0.0
3.191,5.346,3.736,2.537,6.091,1.384,2.869,103.096,4.887,2.743,2.761,5.69,1.786,3.805,3.822,2.635,2.197,3.0,2.719,3.953,2.377,3.74,2.0,1.623,2.809,3.487,3.308,296.575,21.077,1605.786,0.536
2.171,3.587,4.314,3.328,5.951,2.282,2.423,132.196,3.715,4.441,2.249,2.168,2.063,4.804,1.308,3.394,3.42,3.0,3.108,3.127,3.969,3.73,2.0,1.067,1.264,1.394,1.258,458.252,24.722,6729.055,2.413
