 AA, CPLX, DOCU, FLEX, KLOC, PR, RUSE, EFFORT-, MONTHS-, DEFECTS-, RISKS-
3.166,1.459,2.704,3.074,105.855,1.136,5.846,123.119,16.287,2524.313,2.145
2.063,3.485,3.528,1.523,301.761,3.054,5.291,971.067,29.659,4385.467,0.0
4.662,3.457,1.39,1.934,304.452,1.934,3.472,1040.525,31.332,8520.984,0.0
3.511,3.849,4.529,1.415,177.682,2.896,2.034,585.908,26.426,2922.093,0.536
5.38,2.438,2.455,4.299,298.736,4.561,4.94,1348.645,33.576,5151.05,0.0
3.466,3.689,1.728,1.87,177.687,2.877,5.755,405.714,22.963,3506.779,1.609
5.909,3.062,1.644,2.548,51.181,1.525,3.835,136.838,16.611,759.249,0.536
3.691,2.804,3.305,1.75,138.336,5.265,2.535,472.238,24.244,3283.727,1.609
2.938,2.989,4.951,3.328,327.942,1.705,2.191,852.617,29.085,7307.655,0.0
1.427,3.494,2.285,1.956,81.566,2.262,4.22,292.819,21.288,4293.165,2.145
3.647,2.915,1.451,3.239,244.86,2.321,3.369,584.781,26.754,11996.701,1.609
3.546,2.802,1.897,1.533,66.794,3.067,4.149,195.777,18.712,2733.068,0.536
3.094,2.923,2.504,1.675,206.865,3.376,3.057,633.702,26.432,3609.084,0.536
3.648,1.707,4.19,4.528,190.26,1.647,2.767,572.752,23.896,1569.95,0.536
3.863,3.954,4.98,2.79,53.723,3.662,2.562,325.559,21.278,792.437,2.413
3.395,2.934,3.079,1.047,200.048,1.372,2.763,1570.451,37.112,13205.632,0.0
2.614,2.249,1.278,4.105,63.439,1.554,5.662,222.985,18.864,3690.459,1.072
2.711,2.425,1.557,3.68,190.218,5.904,4.678,456.767,23.879,2941.74,0.804
1.495,3.728,1.234,1.47,330.874,5.164,2.819,1662.626,38.028,27301.06,0.268
5.49,2.059,4.501,4.317,294.982,4.174,3.168,845.603,28.575,3006.637,1.072
5.855,2.458,2.323,4.35,353.026,3.403,2.437,899.106,28.573,2372.135,0.0
5.098,3.225,4.309,3.016,163.762,1.84,5.709,1172.188,32.021,5394.766,0.536
5.79,1.965,1.927,4.769,62.4,1.415,2.861,133.247,15.641,165.791,1.072
3.474,3.258,3.199,2.126,25.737,1.664,4.259,202.14,18.903,2393.403,0.268
1.186,2.118,3.379,4.51,323.396,1.546,2.469,648.257,25.947,9274.115,1.072
1.242,3.638,4.013,4.398,290.446,1.322,2.783,992.45,29.965,21491.317,0.804
1.304,3.124,4.966,1.772,28.143,5.237,2.388,122.977,15.724,321.636,1.609
4.214,2.879,2.787,4.836,89.098,4.193,4.562,189.127,17.868,524.473,1.072
2.0,3.526,3.719,1.999,360.882,2.218,3.706,3097.42,45.069,26342.373,1.072
4.834,3.674,2.859,4.785,120.77,5.339,2.405,297.833,20.404,326.849,2.145
4.814,2.712,3.063,4.292,291.826,1.381,3.866,856.234,28.588,3477.055,1.072
3.452,1.722,3.665,3.637,296.639,3.561,5.799,2188.915,39.633,15675.962,2.145
5.682,3.569,3.162,4.893,328.103,5.697,4.729,708.258,26.918,1223.753,1.072
5.809,1.753,3.298,1.463,60.879,5.533,4.802,216.126,19.375,370.908,2.145
5.176,3.806,1.012,1.282,84.908,5.441,5.684,437.508,23.415,1307.819,0.268
4.286,3.945,4.082,1.726,356.376,1.639,5.694,2331.099,40.899,6280.865,0.0
3.481,3.387,3.529,2.356,157.408,2.053,5.169,588.332,25.506,1811.775,0.0
3.975,2.711,3.003,2.42,14.476,1.813,3.416,35.461,10.891,208.74,1.072
4.047,1.403,3.828,2.704,50.408,5.11,3.071,198.284,18.343,611.06,0.0
1.039,2.175,2.502,2.09,389.302,2.661,4.885,1721.657,37.225,30856.398,1.609
4.87,3.571,3.141,2.174,42.773,4.226,2.437,92.594,14.833,315.118,0.536
5.967,3.647,4.013,3.508,210.092,2.421,5.923,1183.009,31.21,1342.452,0.0
5.355,1.637,3.532,1.898,337.03,5.381,4.669,692.614,27.105,2183.539,4.29
1.723,2.833,2.75,1.92,63.594,1.994,4.671,288.636,20.647,1255.913,0.0
2.564,1.737,3.674,3.587,130.848,3.601,5.197,839.194,29.493,8594.658,1.072
5.75,1.215,2.899,4.145,101.058,2.494,4.362,439.416,23.211,3206.042,0.268
3.533,3.783,1.3,2.736,77.477,5.246,4.101,195.511,17.665,245.2,0.0
3.977,3.183,2.857,1.458,143.402,4.443,3.107,877.249,29.382,1821.38,0.0
5.723,1.323,1.119,2.141,348.636,3.129,5.654,1152.411,32.45,19423.809,0.536
2.228,1.574,4.276,2.999,214.812,4.053,4.021,466.199,24.084,5337.013,1.072
3.392,1.345,2.106,3.33,99.32,5.731,4.138,158.536,16.515,792.415,0.0
5.969,2.764,2.815,1.559,214.214,4.365,4.826,674.984,26.889,862.439,0.536
3.256,3.584,1.351,4.981,159.663,2.54,3.015,647.039,25.726,2333.973,0.536
1.842,2.19,3.506,3.609,128.216,3.045,3.066,516.867,25.156,8573.537,2.413
5.77,1.522,4.165,4.48,283.528,2.006,4.101,1212.354,31.977,3178.499,1.072
1.668,2.779,3.466,4.956,355.599,1.462,5.091,573.525,24.054,3794.15,2.145
4.705,3.06,2.696,4.07,237.26,5.54,2.282,297.112,20.134,1078.625,0.804
4.65,1.651,4.859,4.773,138.207,1.676,5.012,1083.413,30.213,3810.542,1.34
5.585,3.885,1.068,1.753,287.167,5.678,4.996,1362.718,32.559,2102.745,1.609
4.882,2.567,2.697,3.386,330.495,2.931,2.885,787.153,26.715,1723.766,0.0
5.415,2.921,3.537,2.707,369.289,3.57,3.186,1553.71,33.017,2288.684,0.0
1.523,2.124,3.976,1.541,92.3,3.969,5.331,162.477,17.434,903.22,0.536
5.806,2.34,2.738,2.875,303.912,2.055,5.203,1845.176,37.639,5135.427,0.536
4.821,2.171,3.608,3.133,359.325,5.858,4.748,943.329,29.504,2070.278,1.072
4.533,3.613,4.745,3.054,271.13,2.756,5.44,1378.622,33.0,3172.516,0.268
3.44,3.393,3.86,1.498,311.0,5.12,4.239,1212.172,34.196,4672.799,1.072
2.75,2.293,3.578,4.255,43.1,3.403,3.803,148.233,16.6,348.592,1.072
5.041,3.932,2.389,4.321,98.788,2.235,5.711,490.222,23.672,2260.93,0.536
3.757,2.097,2.35,4.763,49.655,5.482,3.785,198.824,18.401,711.509,0.536
1.031,1.928,1.906,3.421,365.625,5.014,3.194,1207.571,32.661,29084.24,1.072
4.65,3.198,1.569,4.487,203.133,5.161,5.467,595.763,26.524,13557.653,2.145
5.332,2.472,4.237,2.317,312.135,3.786,5.41,1288.3,32.585,5893.921,0.268
1.016,1.455,4.835,4.004,372.855,2.923,4.102,2390.627,40.797,19302.348,0.536
1.147,2.056,3.481,3.564,228.984,4.607,4.896,678.451,25.97,6582.729,1.072
3.705,1.395,1.07,2.396,187.354,3.168,5.157,571.789,25.56,9971.638,3.217
1.516,1.606,1.104,4.402,34.349,5.084,4.592,69.917,13.092,399.431,1.072
2.263,2.846,3.401,3.637,257.574,1.871,5.812,2154.929,38.644,10898.922,0.0
3.664,2.361,3.652,4.239,14.601,1.701,2.637,54.938,12.526,578.98,1.609
1.192,3.98,3.503,1.119,385.917,4.115,4.02,3268.518,46.099,20460.421,0.268
4.632,3.029,4.676,2.751,136.422,2.519,3.888,807.246,28.537,3472.346,0.0
3.332,1.063,3.077,4.753,58.541,3.924,3.42,154.916,16.695,2168.547,2.413
1.775,2.579,4.413,2.166,129.633,1.026,4.051,818.076,28.982,6993.719,0.0
2.035,2.661,3.138,2.224,147.149,3.656,2.062,521.769,25.899,16826.314,1.609
3.228,1.313,4.029,2.732,315.866,2.047,3.683,888.659,28.693,4479.397,2.413
2.436,2.134,2.923,3.179,378.088,2.43,3.447,942.235,28.645,8258.957,1.609
5.548,1.782,2.765,1.149,361.012,5.932,5.627,1526.572,36.506,4940.122,1.072
4.202,2.525,4.978,3.901,127.729,4.857,2.27,638.337,25.925,906.472,2.145
1.771,3.229,4.32,3.144,96.565,4.762,5.759,311.503,21.535,1591.023,1.072
2.224,3.733,4.928,1.724,218.65,5.523,3.923,1294.258,34.441,2857.815,0.268
4.848,1.723,3.189,4.471,154.71,5.361,2.639,284.231,20.754,1394.956,1.072
4.458,3.038,1.604,4.527,156.121,2.082,4.418,500.728,24.654,8513.782,0.536
1.398,1.06,2.561,2.907,262.64,4.401,4.874,699.257,27.072,5429.444,0.804
3.877,2.059,1.117,4.177,11.621,2.649,3.215,57.601,12.493,553.929,0.0
5.26,2.703,4.561,4.094,342.906,3.207,5.389,585.008,24.678,1673.298,2.145
2.035,1.855,4.787,3.712,218.094,5.369,5.02,515.655,23.876,883.212,1.072
5.751,1.324,2.481,4.237,30.848,4.656,4.057,127.254,16.106,400.428,1.072
5.235,1.778,4.243,4.225,313.276,5.072,4.876,921.73,28.746,2411.169,2.413
1.965,1.363,1.251,3.13,143.906,4.171,2.741,441.198,22.96,3629.517,1.072
1.424,3.066,3.783,3.789,237.76,4.014,4.501,607.944,25.426,3292.837,0.268
4.294,3.555,3.351,3.778,133.524,2.608,5.781,780.832,28.788,10919.853,1.609
3.545,1.31,4.342,2.42,137.485,4.822,3.34,362.192,22.342,1576.408,3.217
3.493,1.075,2.812,3.018,90.139,3.478,4.478,281.929,20.208,1455.074,1.072
5.354,1.699,3.857,4.249,160.423,3.114,5.377,1407.698,32.01,906.29,0.268
3.691,2.23,2.048,4.32,319.848,5.776,3.214,1084.043,30.374,6063.248,0.536
5.234,1.718,4.103,3.971,224.099,3.415,2.146,458.241,23.187,1802.611,3.217
3.945,1.431,1.957,3.944,55.467,2.044,4.483,158.868,16.584,394.695,0.804
2.398,3.701,2.948,4.864,243.811,1.568,4.671,835.086,28.506,14671.762,1.072
5.664,3.38,3.715,4.071,163.961,3.668,4.93,491.219,24.299,1221.594,1.072
1.518,3.048,1.889,3.789,306.814,3.865,2.604,896.212,28.725,11994.204,0.268
2.674,3.677,2.077,4.124,143.491,4.435,2.422,478.025,23.437,2554.798,0.536
5.977,2.724,3.872,4.884,223.381,3.993,3.066,619.759,26.198,2352.035,0.268
3.489,1.772,2.683,1.128,270.233,5.773,2.911,1259.309,32.144,5659.86,2.145
4.557,3.759,1.753,4.25,80.127,5.236,3.291,227.325,19.443,1032.271,0.0
5.636,3.298,2.624,3.472,82.055,3.363,2.531,150.526,16.967,509.47,0.536
1.235,3.766,4.211,4.366,81.234,4.386,5.225,872.281,28.326,2706.49,0.0
1.849,3.554,3.916,1.278,49.722,3.109,3.986,319.233,22.307,1971.089,0.0
5.381,1.286,3.956,4.34,310.246,4.757,2.517,372.612,22.518,1402.351,0.0
1.395,3.292,3.013,3.712,141.707,3.422,4.679,390.12,22.58,2778.724,0.0
1.527,1.155,1.503,2.817,213.937,2.822,4.246,576.513,25.059,4570.83,0.0
3.155,3.588,3.107,1.007,129.975,4.499,4.458,429.452,23.659,1052.557,0.0
4.265,2.883,1.234,3.901,233.688,4.329,4.037,618.919,26.35,5349.285,1.609
3.31,1.487,1.33,4.467,198.525,3.712,3.052,388.26,22.034,1936.232,1.072
1.883,1.247,1.934,4.378,210.616,2.99,3.186,362.59,21.479,3007.912,0.0
3.616,3.355,2.901,1.954,173.721,1.67,4.72,669.443,26.722,3428.163,0.0
1.291,3.559,1.855,1.692,262.508,5.638,5.272,891.512,30.816,5153.776,0.268
4.559,1.581,2.535,4.981,78.6,2.11,3.815,240.306,19.073,636.718,0.536
1.527,2.952,4.996,2.505,381.576,1.213,3.803,2376.856,41.825,9301.245,1.072
4.212,1.659,1.929,2.805,357.125,3.88,4.833,864.693,29.399,7091.574,0.0
1.259,2.287,4.583,3.124,264.054,3.411,2.119,932.486,29.31,5404.153,0.536
3.353,3.546,2.83,2.529,345.207,2.82,5.841,780.698,27.417,3059.615,1.072
3.916,3.72,3.814,2.077,334.895,4.571,5.696,1013.498,31.296,5460.086,0.536
5.253,3.094,3.829,2.115,257.314,1.794,3.749,1172.497,32.804,4290.732,0.0
3.973,1.034,2.683,1.995,34.106,1.129,4.891,85.511,14.81,1004.689,1.072
2.719,3.861,3.727,1.537,244.707,1.384,2.233,1143.973,32.442,6384.454,0.804
1.992,1.387,3.269,4.464,389.968,4.234,5.204,2238.849,38.805,21288.969,0.268
1.818,2.16,4.588,1.678,142.378,1.79,5.338,531.434,25.681,6096.961,0.0
1.821,2.364,3.176,4.346,283.204,5.461,5.401,1105.452,31.775,4301.5,0.536
2.26,1.956,2.155,1.383,255.311,1.177,4.366,1015.744,31.671,21046.912,1.072
3.522,1.756,4.929,2.781,75.262,5.095,3.606,247.487,19.851,323.822,1.34
2.022,2.721,2.184,3.024,343.022,1.696,3.519,618.843,25.917,16580.436,0.0
3.054,3.571,3.956,4.569,53.186,2.757,5.682,533.879,24.258,1388.731,1.34
4.229,3.567,2.779,3.651,60.321,2.55,2.007,92.331,14.338,878.089,1.072
4.531,2.221,1.528,1.436,359.637,1.977,4.157,819.961,28.773,13527.597,0.536
4.111,1.52,4.144,3.835,272.31,2.071,2.514,475.443,23.628,2753.071,0.0
2.72,3.76,1.926,3.056,314.54,3.225,5.844,3052.121,42.246,29939.001,0.536
1.761,2.859,2.616,4.044,123.181,5.869,4.036,364.996,22.217,1211.549,0.0
4.434,1.667,3.379,4.653,25.957,3.951,4.225,182.268,17.65,450.901,0.536
3.885,1.783,3.239,3.722,31.498,4.155,4.963,88.661,14.298,491.909,2.413
1.933,3.673,4.46,2.53,62.855,4.973,5.724,947.111,32.183,8525.677,1.877
4.529,2.84,2.289,3.965,284.401,1.271,2.689,754.056,27.81,5428.892,0.268
1.934,1.616,3.883,3.939,211.228,1.542,4.008,948.945,29.315,5556.945,0.0
5.818,1.576,1.111,4.363,332.18,5.129,2.037,828.396,27.962,2160.549,0.268
4.406,2.963,3.024,4.098,221.83,4.338,2.714,877.934,28.302,2288.852,0.0
1.15,3.253,3.445,2.446,131.847,5.466,2.064,415.802,23.357,2673.603,2.413
5.61,2.041,3.649,3.429,276.314,5.546,2.954,627.954,25.252,699.434,0.536
4.866,2.544,1.03,3.731,286.499,5.688,4.793,1129.29,30.715,2066.855,0.0
3.457,2.68,1.44,1.538,253.173,4.541,5.449,1517.436,33.642,4365.259,0.0
3.215,3.134,1.661,2.116,317.299,2.665,2.782,1006.775,31.048,8452.367,0.268
5.392,2.011,3.806,4.122,289.263,2.168,4.378,756.505,26.914,1520.245,0.0
3.174,3.2,1.632,2.456,120.801,4.488,4.836,364.892,21.601,1893.198,2.145
1.339,3.333,2.639,1.962,64.622,2.675,2.562,274.788,20.645,3334.754,1.877
4.455,1.347,3.066,3.864,267.319,2.827,3.688,698.697,25.818,1840.593,2.145
2.714,3.601,4.656,4.349,40.933,2.706,5.489,173.705,17.931,886.433,2.413
5.626,2.887,4.452,3.193,224.794,3.202,3.719,695.239,26.147,781.466,0.0
2.77,1.29,3.453,3.651,32.592,4.924,3.168,165.038,17.186,483.29,1.072
2.527,2.867,1.969,3.449,176.419,1.932,4.506,598.161,25.109,4158.431,0.536
5.922,2.922,2.423,3.938,223.39,1.937,5.905,2346.884,38.647,16849.632,1.34
5.972,1.04,4.443,1.031,374.389,1.455,4.815,1561.177,34.384,2125.774,0.536
4.431,1.572,1.585,4.813,121.563,5.648,4.298,456.393,23.002,1371.913,2.145
3.235,1.113,2.789,3.616,387.579,4.783,5.829,1173.947,31.541,10647.803,1.072
5.21,1.027,4.985,1.393,282.53,1.804,5.891,3040.835,43.098,2762.95,0.536
3.844,3.932,2.298,1.365,163.957,2.585,2.411,358.433,22.184,1905.556,2.145
3.283,1.359,2.501,2.916,260.289,4.23,5.411,1131.171,31.499,12491.364,0.804
2.194,2.529,3.977,4.761,59.32,4.557,2.262,184.085,17.305,443.039,1.609
4.104,1.491,1.103,3.365,80.173,4.467,4.279,322.896,21.206,1714.392,3.217
3.733,1.761,1.9,2.928,254.47,5.47,4.997,628.047,25.337,2697.924,1.072
5.692,3.115,2.193,3.623,246.668,3.386,5.896,633.531,25.885,2194.986,0.536
2.201,3.066,1.248,1.274,205.283,4.46,5.2,588.21,25.509,2544.528,0.0
1.534,1.901,2.71,3.833,233.993,3.205,4.186,747.117,27.263,9195.0,2.145
2.547,2.081,1.167,3.658,150.968,1.32,5.632,352.017,22.246,7354.058,0.0
4.229,3.838,2.642,4.243,193.037,4.505,3.925,842.553,28.847,4880.073,1.609
4.733,3.722,4.981,4.04,237.765,3.205,3.384,615.372,25.547,2069.442,0.536
3.263,3.741,2.489,3.384,110.035,4.322,2.511,347.887,21.355,1434.684,0.536
4.782,3.801,3.967,4.61,112.009,1.04,4.897,327.016,21.065,721.921,1.072
3.421,2.129,1.259,4.722,79.795,2.596,3.205,225.61,19.492,4414.603,0.804
4.226,3.439,2.681,3.037,26.446,4.434,3.324,78.5,13.832,380.868,1.072
4.056,3.348,2.495,2.725,62.642,4.936,4.326,195.12,18.716,1379.192,0.804
5.332,2.29,4.748,4.85,87.437,4.628,3.754,476.207,23.311,773.322,1.072
1.911,2.379,2.314,2.889,252.671,3.795,4.652,1223.249,31.09,4118.846,0.0
1.414,1.199,3.07,3.393,146.897,4.69,4.434,677.573,27.432,5884.575,2.413
3.887,3.617,4.573,3.968,47.335,1.839,4.129,370.395,21.686,612.2,0.0
2.494,3.352,1.868,2.024,169.308,4.212,5.411,734.813,26.809,5044.888,0.268
4.584,2.48,1.42,4.378,321.268,5.476,4.892,1292.533,33.063,11789.462,2.145
2.635,3.147,3.943,2.044,30.652,4.704,3.603,77.95,13.925,186.069,0.0
2.269,1.28,3.586,2.769,34.608,3.468,3.671,99.534,14.803,425.803,2.145
3.341,1.726,4.314,1.579,83.492,3.711,4.556,407.147,23.696,2674.966,1.34
2.007,2.248,1.881,3.608,36.511,5.343,3.029,180.722,17.74,460.007,0.268
3.032,1.01,3.445,2.738,304.48,2.788,5.645,1256.27,32.613,5619.147,1.34
1.947,3.223,3.558,3.518,227.846,1.199,5.24,1333.827,32.502,8219.447,0.804
5.033,2.461,1.245,4.892,87.444,2.686,3.783,214.713,18.856,5131.09,2.681
5.687,2.395,1.316,3.973,48.642,2.952,2.4,159.627,16.75,660.412,1.072
4.329,3.034,2.638,3.989,381.39,2.194,3.611,3114.43,41.952,33192.105,0.536
2.875,3.487,3.463,4.944,288.428,2.875,3.942,916.809,29.124,3679.357,0.536
2.627,2.201,4.704,3.535,144.742,3.299,4.037,589.647,25.557,2753.55,2.145
5.198,3.133,2.515,3.514,26.104,2.675,3.242,79.145,13.668,156.307,0.0
2.27,2.51,4.999,2.179,56.647,2.902,2.909,191.693,19.014,978.045,0.536
1.681,1.997,1.052,2.609,241.132,1.349,2.376,397.699,22.518,2015.86,0.0
5.451,2.49,3.244,1.872,319.163,4.435,2.191,1198.783,32.283,2455.469,0.0
5.14,1.744,1.04,1.556,82.399,4.836,2.636,149.097,16.832,271.711,2.145
4.288,1.078,2.991,3.443,261.976,5.791,5.945,423.726,22.479,1515.457,2.145
1.616,2.568,4.43,1.698,248.506,5.083,4.791,521.652,24.513,1911.895,1.877
2.855,2.441,4.45,3.903,19.339,3.599,4.348,71.88,13.557,150.461,0.536
1.276,2.167,2.537,3.733,79.636,4.45,3.677,328.979,21.031,2034.702,0.0
5.866,1.641,3.994,1.585,25.327,5.311,5.227,120.116,16.318,242.517,1.072
4.816,2.335,3.725,4.174,42.628,1.756,3.545,125.446,15.946,321.196,0.536
3.676,3.858,4.201,2.336,132.998,4.163,3.049,1037.717,29.517,1778.54,0.0
4.196,3.058,1.2,1.376,119.72,2.174,4.414,419.507,23.771,5582.56,2.145
1.785,3.549,2.178,3.646,20.179,3.774,4.499,75.927,13.842,1501.621,0.536
5.925,1.162,2.388,1.807,311.494,3.81,5.721,637.981,26.514,3749.049,2.413
1.603,2.055,3.938,4.08,37.127,2.164,5.597,354.252,22.278,3385.906,1.877
3.995,1.591,3.473,1.156,253.447,1.13,2.938,327.556,21.503,1866.419,3.217
2.455,1.707,3.971,4.059,261.835,5.691,5.899,775.904,27.253,3841.611,1.072
2.552,3.367,4.333,2.55,285.242,4.215,4.58,1568.412,36.516,7200.427,0.0
4.298,1.817,3.325,2.236,118.116,2.749,4.24,590.698,26.039,3483.004,1.072
4.314,1.496,2.525,4.616,329.17,4.795,5.247,1087.191,32.249,9482.439,1.877
5.205,2.752,4.054,4.822,362.348,2.828,4.436,1692.034,35.817,8304.684,2.145
1.046,3.93,4.062,4.057,266.094,3.826,2.422,1109.498,29.289,3700.013,1.609
1.512,2.322,1.366,4.262,151.24,3.939,5.563,677.905,27.263,15244.734,0.536
4.579,2.119,2.666,4.018,309.559,4.552,2.009,1055.501,30.666,6455.317,0.0
5.198,1.576,3.608,3.056,19.493,2.778,4.634,76.553,13.959,281.039,0.536
5.75,1.158,4.611,1.609,156.83,3.607,2.798,565.345,25.89,1282.513,2.145
4.91,2.444,4.395,1.348,337.301,4.248,3.908,1632.445,33.789,4409.771,0.268
4.175,1.702,1.543,3.574,260.076,1.606,5.437,1785.351,36.08,20129.329,2.145
2.867,3.968,3.769,4.682,144.004,3.325,2.431,298.845,20.672,1213.459,0.268
5.373,2.305,2.647,1.383,347.961,4.473,3.355,595.523,26.5,1849.076,0.536
3.142,1.097,4.623,2.031,44.327,3.628,2.699,105.06,15.023,231.408,2.145
5.091,2.013,1.243,3.48,310.416,4.231,5.914,1143.116,31.086,9169.731,1.072
5.684,1.294,2.958,2.695,391.507,3.075,5.438,744.896,27.777,2438.721,1.072
4.878,3.29,2.655,1.695,267.964,4.737,3.76,1154.412,32.676,3892.05,0.268
4.089,1.062,2.379,1.437,117.556,3.937,2.038,281.562,20.118,879.663,1.072
4.555,2.95,3.98,2.41,372.031,5.961,3.5,2696.666,38.996,3040.96,0.0
5.357,2.669,2.884,2.053,25.674,4.392,3.145,130.498,16.732,270.352,0.268
3.918,2.477,3.344,4.635,121.611,3.449,4.878,535.175,24.674,3470.636,0.268
1.646,3.945,2.259,2.773,207.912,1.999,5.67,1113.991,30.759,9370.944,0.0
3.324,2.794,1.994,4.321,332.79,5.425,4.679,903.013,29.021,3085.785,2.145
5.868,3.105,2.068,1.606,220.901,5.441,2.579,839.904,29.07,2772.46,0.0
2.763,3.335,2.586,1.902,386.87,5.153,4.614,1628.298,34.509,7876.954,1.609
1.96,1.945,3.073,2.687,70.787,2.809,2.486,222.181,19.004,2109.298,1.072
3.621,1.852,2.038,4.007,159.022,1.491,3.491,491.5,24.222,7811.847,1.34
4.5,2.237,1.559,2.637,176.357,5.307,3.772,510.983,25.334,1667.018,0.0
3.623,2.546,2.743,1.66,199.212,3.231,3.206,953.559,30.618,6836.874,1.609
5.842,3.703,1.787,3.848,187.419,2.724,4.562,456.783,23.321,1217.52,0.268
3.147,1.856,1.247,1.292,206.722,2.723,2.682,512.3,25.577,7947.187,2.145
2.976,2.946,3.215,3.475,212.129,1.245,4.63,553.135,24.979,3591.442,2.145
1.686,2.252,1.371,1.529,247.925,3.894,2.324,402.681,22.805,5852.141,1.609
2.077,3.034,1.392,3.323,336.007,1.389,4.093,984.946,31.013,69609.168,1.609
5.859,1.584,2.857,2.906,321.543,5.067,3.567,557.771,23.938,427.63,0.536
5.912,1.204,3.835,4.094,267.202,1.872,5.687,511.789,25.295,3560.906,3.753
3.132,1.113,2.008,2.279,94.097,2.015,2.544,296.108,21.569,6547.035,2.413
1.51,3.36,2.565,4.398,219.413,1.779,3.338,913.362,29.492,25328.029,0.268
3.543,1.464,3.269,2.248,15.363,3.702,2.919,78.797,13.949,262.213,0.0
