DATA, ACAP, KLOC, LTEX, PVOL, SITE, TEAM, TIME, EFFORT-, MONTHS-, DEFECTS-, RISKS-
3.206,3.742,309.599,3.707,2.848,3.543,1.451,3.453,2113.538,40.99,11013.333,0.0
3.962,4.78,88.959,1.469,3.836,3.304,3.25,3.17,241.125,19.628,2134.71,2.145
4.712,3.542,27.645,2.868,3.626,1.226,4.106,3.395,272.38,20.141,1710.668,0.0
4.052,3.754,388.54,2.209,3.586,4.01,1.252,3.928,1986.39,37.799,11232.338,2.145
4.851,3.084,43.791,2.111,2.946,4.271,4.833,3.244,236.266,18.918,1195.107,0.0
3.484,4.145,192.074,2.302,4.03,1.943,3.059,3.919,1514.007,35.921,12751.31,1.609
3.346,4.384,26.051,3.33,4.088,2.969,1.817,3.822,101.732,15.223,866.925,1.34
2.889,4.261,269.153,2.638,3.796,5.619,1.345,3.272,553.739,25.741,2273.718,0.0
3.405,4.141,293.318,1.712,3.516,3.139,4.81,3.316,2554.46,41.34,14837.171,0.0
4.182,3.532,113.38,3.693,2.14,1.701,4.461,3.789,368.933,21.582,2030.744,1.609
3.867,3.738,251.665,3.501,3.161,1.537,2.451,3.243,1195.022,33.553,15514.044,0.268
3.675,3.317,217.87,2.985,3.865,1.324,1.655,3.301,1333.981,34.001,13384.802,2.145
3.216,4.262,154.798,2.128,4.917,4.465,2.571,3.797,1105.483,31.286,6279.25,0.536
2.844,4.434,37.311,1.533,4.134,3.171,1.96,3.849,225.993,19.389,2474.554,1.877
3.216,3.429,265.934,3.901,3.097,4.239,3.426,3.711,687.999,27.053,11156.942,0.0
4.173,4.186,211.393,3.584,3.586,2.534,4.019,3.608,1247.569,32.598,15145.693,2.145
3.829,4.031,220.487,3.483,4.032,5.268,3.733,3.706,489.886,23.315,1180.85,0.0
2.894,3.488,274.823,1.61,4.525,3.871,1.296,3.333,665.645,26.915,7046.647,0.536
4.819,3.658,53.592,2.357,4.424,2.423,3.318,3.719,131.531,15.848,852.092,1.072
4.918,3.95,91.414,1.624,3.144,1.256,1.961,3.381,561.235,26.086,5398.441,0.804
4.261,3.9,266.278,2.976,2.449,3.764,3.823,3.798,2114.639,37.304,5927.622,0.0
4.905,4.024,271.202,2.505,3.501,1.345,3.942,3.384,1279.434,31.976,12648.241,2.145
2.442,4.129,116.101,3.223,2.116,4.573,2.71,3.669,219.296,18.299,3214.606,2.145
2.494,4.294,379.874,3.396,4.805,2.537,1.331,3.51,1189.82,31.395,9081.935,1.34
2.484,3.185,346.789,2.183,4.176,4.87,4.391,3.025,688.954,25.877,5681.567,0.0
3.657,4.831,218.971,2.376,3.785,2.481,3.808,3.081,602.987,25.433,4798.932,0.536
2.06,4.878,299.916,2.998,2.922,2.939,3.211,3.938,764.925,27.346,5603.74,0.0
2.57,4.229,184.619,3.333,4.045,1.423,3.796,3.933,974.753,31.621,10452.79,0.0
3.191,3.736,103.096,3.487,3.805,2.719,2.377,3.74,296.575,21.077,1605.786,0.536
2.171,4.314,132.196,1.394,4.804,3.108,3.969,3.73,458.252,24.722,6729.055,2.413
4.132,3.345,154.903,1.765,3.487,1.141,4.551,3.373,593.926,24.827,2517.094,1.609
4.781,4.776,230.068,3.79,4.867,1.811,1.669,3.153,552.551,25.155,6749.652,1.609
3.785,3.368,297.737,3.598,3.892,3.495,3.445,3.825,1120.915,30.21,6400.152,0.0
4.375,3.669,156.635,1.614,2.61,5.562,1.271,3.907,664.281,27.669,3697.487,0.268
2.175,3.33,19.265,1.088,4.658,1.115,3.42,3.512,115.441,15.18,715.981,2.145
3.926,4.461,35.697,1.265,3.913,4.385,3.279,3.791,107.829,14.808,1099.005,2.145
4.523,3.0,340.45,1.287,4.251,4.166,2.03,3.793,1882.853,36.704,5784.563,0.268
3.118,3.538,74.656,3.271,2.852,2.188,4.952,3.085,151.041,16.519,1688.624,0.0
3.974,3.474,194.998,3.108,2.668,1.791,3.628,3.377,764.631,28.102,6114.992,1.072
4.746,3.792,253.617,3.94,4.188,5.611,3.291,3.458,1673.281,36.91,2668.286,0.0
2.649,3.588,154.731,2.9,3.953,1.375,4.667,3.099,524.838,24.427,5496.429,1.072
3.817,4.974,389.433,3.65,2.326,5.72,3.727,3.852,888.517,29.417,4190.475,0.536
3.576,3.229,341.808,2.996,2.407,5.685,3.648,3.584,611.194,25.298,4878.378,0.536
3.903,3.454,218.93,2.681,3.743,2.2,2.705,3.078,636.421,26.853,2826.217,0.536
3.165,4.41,32.765,3.224,2.701,5.184,2.751,3.151,92.764,14.512,171.518,0.0
4.232,4.726,176.122,1.365,4.205,1.744,4.036,3.227,636.096,26.005,2922.889,3.217
4.249,4.152,28.474,1.118,4.614,5.46,4.445,3.921,108.421,14.71,169.924,1.072
4.897,4.279,349.41,2.455,2.581,4.904,4.717,3.906,947.227,29.691,1072.674,1.072
4.742,3.324,90.967,2.107,3.264,5.18,1.912,3.932,352.632,22.445,3181.372,0.536
4.869,3.636,201.381,3.054,3.842,1.957,1.164,3.554,1033.82,30.584,6781.665,0.536
2.184,3.678,303.832,2.956,2.55,5.651,1.249,3.505,374.551,22.564,4478.201,1.072
4.048,4.027,127.7,2.727,4.148,5.299,4.295,3.477,193.398,17.901,986.0,2.145
3.237,4.693,174.065,3.005,2.276,2.979,2.319,3.185,259.839,20.3,7165.937,2.145
3.679,4.267,274.838,1.269,3.677,1.752,3.385,3.116,1441.831,34.088,11862.051,0.804
3.011,4.374,189.846,1.522,2.715,1.5,3.435,3.443,727.59,28.557,8029.877,1.34
4.588,4.051,333.732,1.976,3.403,2.245,1.532,3.608,2053.676,38.254,34910.362,3.485
4.313,4.998,325.092,2.895,3.776,4.162,1.909,3.607,845.006,28.359,8962.889,2.145
3.02,4.291,294.658,1.981,4.25,2.88,3.399,3.859,905.044,29.965,8442.333,0.804
3.106,3.893,248.071,1.781,4.68,3.288,4.121,3.719,580.864,26.166,6083.07,0.268
3.53,4.394,233.646,3.202,2.084,4.999,2.189,3.125,359.116,22.055,770.869,1.072
2.379,3.114,149.27,3.092,3.216,1.676,2.49,3.837,521.899,24.271,5816.755,1.877
4.548,4.202,277.816,3.137,4.972,3.369,2.352,3.104,1302.05,32.948,13113.914,1.072
3.817,4.122,76.692,3.852,2.287,3.122,3.615,3.016,112.081,15.096,1980.163,2.145
3.207,3.722,181.565,1.525,3.708,1.481,3.392,3.319,928.105,28.818,6662.104,1.34
2.009,3.216,145.32,2.918,3.607,5.223,1.365,3.395,680.934,28.443,4170.095,0.536
2.763,4.908,99.857,1.53,4.336,3.304,1.566,3.941,274.678,20.124,4521.431,2.681
2.779,3.658,54.462,1.691,4.041,4.611,1.649,3.607,274.303,21.484,3419.543,1.34
4.624,4.342,316.174,3.119,3.243,5.294,1.87,3.906,378.864,22.501,3503.221,2.145
3.525,4.114,293.619,3.586,4.628,1.354,2.275,3.956,685.877,25.673,8948.16,1.34
3.633,3.796,77.854,2.305,3.977,4.961,4.1,3.529,587.574,25.935,2138.087,0.0
4.211,4.755,173.007,2.553,3.823,3.836,4.607,3.161,429.157,23.788,3966.745,1.072
3.712,4.593,164.026,3.807,4.451,1.83,1.724,3.965,676.185,26.147,2835.545,2.145
3.439,3.584,108.479,3.815,2.461,3.147,2.785,3.482,209.724,18.263,1066.926,1.072
3.58,4.145,175.959,1.247,2.973,2.886,4.603,3.445,864.079,27.754,7167.425,0.268
4.694,3.059,90.732,2.95,2.705,4.321,2.267,3.666,500.484,24.721,1886.961,0.0
2.33,4.804,57.138,3.263,2.014,2.801,1.315,3.598,166.192,17.993,2666.144,0.268
2.983,4.138,329.612,1.821,3.801,1.717,3.558,3.627,2061.02,37.918,7459.544,0.804
2.186,4.991,216.974,1.794,3.445,2.392,3.742,3.241,1112.187,31.778,8330.857,1.34
2.762,3.64,324.605,2.495,3.257,4.621,4.469,3.987,984.756,29.377,7734.984,0.0
2.458,4.421,229.296,3.77,2.761,5.065,2.637,3.612,411.295,23.073,3083.81,1.072
3.021,3.71,89.94,2.636,2.664,2.48,2.658,3.641,259.136,20.321,1068.535,0.0
2.111,4.814,282.878,2.549,2.682,5.583,1.52,3.286,545.946,25.646,4919.013,1.072
3.985,3.183,139.521,3.973,2.56,1.873,2.537,3.925,368.893,22.561,4413.644,0.268
3.952,3.36,166.796,1.912,4.242,2.182,1.907,3.146,820.293,27.945,6278.043,1.877
3.456,3.004,317.616,3.825,4.579,4.639,4.143,3.527,1354.377,33.001,2478.869,1.609
4.706,3.871,294.079,2.431,4.241,2.918,3.254,3.14,581.034,25.327,6851.673,1.072
2.961,3.403,66.143,3.183,4.101,5.93,2.934,3.448,168.721,17.203,831.349,1.072
3.518,3.074,366.823,1.169,4.253,5.71,3.757,3.253,1582.072,34.949,8493.001,0.268
4.29,4.219,320.011,2.649,4.459,3.66,1.626,3.634,2595.983,42.253,38182.828,0.536
3.202,4.577,379.686,1.625,4.503,1.726,4.392,3.087,1749.782,33.994,5922.64,0.804
2.293,4.421,195.275,2.32,2.624,3.521,3.074,3.186,485.524,24.127,3126.893,0.536
2.917,3.2,22.02,2.802,4.822,5.989,3.742,3.143,56.517,12.535,227.01,1.072
2.396,3.808,212.622,1.309,3.678,5.316,3.216,3.842,1929.094,39.343,13791.276,1.34
3.02,3.668,223.928,2.586,4.527,4.67,4.106,3.195,736.146,26.927,1538.283,0.536
4.601,3.551,99.251,2.102,3.126,1.348,4.393,3.505,1180.298,31.684,3961.82,0.0
2.762,4.205,376.981,1.528,2.367,2.881,2.452,3.251,1074.764,30.516,16504.413,1.072
2.439,4.195,197.791,2.552,4.291,5.947,1.302,3.615,364.391,22.991,7865.831,3.217
2.482,4.233,19.511,3.438,4.61,3.12,3.31,3.219,99.3,14.754,333.119,0.0
4.582,3.657,310.36,2.365,3.556,1.426,4.306,3.129,1459.292,33.205,8494.085,0.0
2.999,3.329,250.445,1.891,4.105,4.874,2.886,3.528,978.569,29.98,8035.691,0.0
4.797,4.296,246.451,2.778,2.86,2.453,1.896,3.879,1941.175,39.324,18066.072,1.34
4.126,3.31,62.213,2.738,4.134,4.644,4.905,3.71,300.941,20.043,1758.193,1.072
4.93,3.313,201.494,2.865,4.172,1.299,1.873,3.692,1285.568,32.335,16458.675,1.072
2.006,4.969,84.794,1.908,4.112,3.834,3.935,3.69,200.094,18.382,1869.923,0.0
2.572,4.081,114.047,2.032,4.756,5.72,4.882,3.489,417.892,23.244,1563.445,2.145
3.368,3.397,286.605,2.131,3.289,1.746,3.886,3.777,2151.434,39.085,9493.186,1.072
2.915,3.117,179.634,2.909,3.535,2.548,3.474,3.553,872.343,28.896,13715.838,1.072
4.464,3.793,103.815,2.728,2.782,5.946,4.154,3.388,94.647,14.453,512.046,1.609
3.993,3.363,239.808,1.614,2.194,3.953,1.557,3.526,653.055,27.09,7563.479,2.681
3.399,4.753,142.019,3.649,3.472,4.627,4.024,3.198,453.928,23.78,6629.18,1.609
3.663,3.661,101.035,2.3,4.318,4.74,1.534,3.984,318.182,22.178,4063.987,1.609
4.229,4.244,385.635,1.888,2.63,1.187,4.091,3.451,1444.422,32.113,11892.214,1.877
3.915,4.941,332.128,1.163,3.797,1.846,3.994,3.781,1031.844,29.164,6765.482,2.145
2.895,3.714,187.898,2.913,2.779,5.318,1.507,3.902,211.798,19.032,1728.462,0.0
2.151,4.157,232.53,1.321,2.573,5.284,2.239,3.672,300.544,20.763,4078.536,1.072
3.968,4.493,149.072,2.64,4.396,4.829,4.813,3.71,480.637,24.497,1621.843,0.536
2.808,4.253,264.844,1.512,2.721,4.139,4.63,3.263,614.065,25.711,3187.75,0.268
4.085,3.026,31.154,1.18,3.659,2.733,4.155,3.718,136.364,16.407,1395.643,0.536
4.751,4.135,390.242,3.649,2.214,4.279,2.127,3.04,685.161,26.606,6731.649,1.072
2.238,3.017,52.132,1.888,2.509,5.396,3.087,3.6,165.91,17.482,1189.742,0.268
3.712,4.909,251.073,2.438,4.47,1.267,1.882,3.529,1548.695,35.123,28854.052,2.145
4.89,3.862,32.68,2.962,2.686,4.42,3.609,3.431,89.305,14.62,645.562,0.536
3.228,4.843,267.765,2.688,2.072,3.708,1.303,3.892,889.869,29.118,7260.304,1.072
2.919,3.452,26.915,2.971,3.101,4.729,4.666,3.521,103.115,15.31,847.05,1.072
3.057,4.706,281.028,2.193,2.079,3.416,3.546,3.799,1428.277,33.657,6966.664,0.536
4.09,4.003,340.702,1.927,4.711,2.421,4.277,3.535,2999.945,39.635,10547.298,0.268
3.007,3.425,187.123,1.865,2.522,3.448,2.006,3.329,1051.902,30.589,7750.489,0.268
4.706,4.429,293.833,3.988,3.044,1.567,2.099,3.634,1415.72,34.784,15106.079,0.804
3.763,3.398,132.831,3.928,3.31,3.17,4.306,3.872,519.411,24.244,1700.979,1.072
4.692,4.966,135.235,1.04,3.781,1.05,3.478,3.57,616.078,26.252,4521.396,2.145
4.02,4.315,319.337,3.585,2.604,3.093,3.994,3.587,796.25,27.187,6356.927,0.0
3.762,3.473,106.326,2.808,3.3,5.313,2.562,3.506,265.006,19.941,1869.665,0.0
3.673,3.602,69.846,3.133,3.828,5.831,3.556,3.598,170.651,17.241,536.575,0.0
2.746,4.674,301.429,3.838,4.19,3.056,1.298,3.325,738.188,28.053,5028.421,1.609
2.909,4.705,324.777,1.867,2.072,5.687,3.964,3.47,1364.834,32.928,7283.216,1.877
2.831,4.026,281.397,3.627,4.392,1.674,2.2,3.033,951.524,29.37,3852.733,0.804
3.965,4.057,171.395,3.704,4.62,4.203,4.815,3.758,845.217,29.345,3906.617,1.072
2.142,3.502,52.137,3.838,4.726,5.739,4.016,3.289,175.131,17.722,338.442,0.0
4.281,4.397,90.072,1.022,3.856,2.35,1.214,3.732,480.04,24.578,7623.495,2.681
3.172,4.893,281.127,3.35,2.07,4.806,2.249,3.931,492.721,25.183,3249.976,0.536
2.745,4.221,167.288,2.437,2.06,5.628,3.984,3.633,323.774,20.381,1955.731,0.536
2.227,3.264,21.157,3.644,2.113,4.813,2.01,3.527,57.009,12.508,204.719,0.0
4.072,3.361,159.033,3.826,4.535,4.411,3.317,3.627,294.036,20.185,4201.913,0.0
4.63,4.181,292.076,3.63,4.135,2.342,1.924,3.15,1276.658,32.564,10603.159,2.949
3.212,3.827,272.312,3.867,3.143,1.176,3.829,3.69,1062.209,30.472,9980.863,1.072
3.578,4.786,245.214,3.389,3.198,2.169,1.101,3.05,913.13,31.07,6558.777,1.34
2.77,4.611,388.088,3.717,2.282,3.348,2.507,3.573,1207.688,33.855,10788.42,0.0
2.518,3.004,329.286,1.44,2.111,2.75,3.676,3.691,795.52,26.772,5968.664,2.145
4.868,4.176,386.55,2.837,4.875,4.767,4.168,3.794,1543.353,32.465,14357.911,1.072
3.877,3.324,294.727,1.553,3.726,2.22,2.526,3.535,648.618,26.615,14566.914,2.145
2.288,4.452,271.756,2.721,2.127,5.557,2.961,3.115,561.706,25.321,3585.39,0.0
3.832,3.27,227.338,2.934,2.554,3.031,2.508,3.524,913.056,29.397,6678.102,1.072
2.746,4.86,77.704,1.989,2.755,5.615,2.221,3.841,176.873,17.394,1005.991,1.072
2.205,4.251,317.727,1.259,2.879,1.452,4.571,3.34,1269.124,33.812,12746.141,0.804
3.462,4.84,236.414,1.073,2.659,1.465,4.73,3.272,535.145,24.189,2700.814,1.072
3.179,4.153,295.456,2.956,3.935,5.133,1.791,3.431,751.105,27.84,7814.527,1.072
4.95,3.483,107.57,3.679,4.584,3.262,2.604,3.815,384.596,22.168,3172.281,1.609
3.499,4.786,292.192,2.452,4.155,4.519,4.21,3.902,867.166,28.387,3923.553,1.609
3.272,4.278,43.981,3.019,3.007,4.605,1.927,3.88,140.646,17.018,511.159,1.609
3.852,4.328,122.754,1.914,3.593,4.85,4.343,3.005,399.621,22.744,2356.812,1.072
3.323,4.917,227.981,3.364,2.066,2.55,1.686,3.25,789.131,28.347,7721.758,1.34
3.106,3.668,31.505,2.958,2.526,2.693,2.93,3.916,137.859,16.046,849.133,0.0
4.034,4.204,280.753,2.635,4.886,2.277,2.806,3.806,1173.98,30.314,6351.959,0.0
3.41,3.122,329.502,1.719,3.768,4.785,2.573,3.304,483.759,24.126,10583.262,1.34
4.168,3.668,361.848,3.547,4.732,3.245,1.734,3.619,2354.836,39.948,12154.895,0.0
3.307,4.405,23.28,3.622,3.865,2.124,1.349,3.147,66.722,13.137,509.918,2.413
3.952,3.001,226.511,2.867,3.967,5.826,2.032,3.264,377.642,22.748,955.831,0.0
2.668,3.109,199.617,3.176,4.463,5.057,4.809,3.848,651.588,25.823,2307.181,0.0
2.412,4.258,75.549,2.427,2.668,2.971,3.413,3.99,283.5,20.092,5567.279,0.0
4.019,4.246,356.619,3.525,4.89,3.617,3.102,3.634,942.11,29.668,6752.699,1.072
3.163,4.293,25.415,2.361,2.115,5.867,1.497,3.688,149.193,17.262,924.591,0.536
4.387,4.879,62.755,3.783,4.206,4.227,4.548,3.739,134.895,15.647,505.864,3.217
2.771,3.6,334.893,2.012,3.759,2.881,1.953,3.92,2589.255,43.377,54899.895,2.413
3.781,4.915,256.998,1.97,3.324,4.626,4.428,3.391,567.499,25.121,2785.157,2.145
3.974,4.764,69.041,1.472,4.126,5.903,4.717,3.63,109.364,15.13,267.295,1.072
3.035,4.84,66.519,2.286,3.978,1.455,4.581,3.423,202.964,17.728,2357.314,1.609
4.009,4.792,370.484,1.684,3.374,4.673,1.272,3.63,1003.097,30.551,7194.124,1.34
3.262,3.492,301.66,2.339,2.689,4.477,2.715,3.994,981.07,30.015,18575.95,1.072
3.764,3.769,360.621,2.557,2.694,5.021,4.964,3.053,687.788,25.541,2154.718,0.0
2.95,4.797,314.963,2.869,4.795,1.745,3.844,3.62,1734.482,35.954,16515.089,0.0
2.999,3.525,264.587,3.47,3.561,4.056,3.166,3.035,320.176,21.302,3206.459,2.145
2.183,4.862,238.856,1.56,2.646,4.184,3.097,3.422,619.072,25.937,3052.998,0.268
2.696,3.533,288.03,3.76,4.772,2.096,1.164,3.628,925.167,30.002,9926.074,0.268
2.424,4.229,260.053,3.843,3.12,4.569,2.283,3.747,765.948,28.459,4053.478,0.0
4.984,4.787,19.478,3.675,4.087,2.034,3.26,3.34,94.536,14.521,612.929,0.0
2.824,3.897,66.125,2.297,3.215,4.055,1.678,3.397,174.078,18.078,2179.531,1.609
3.96,4.043,121.522,3.036,4.466,4.601,4.488,3.26,453.354,22.968,1293.912,0.0
4.242,4.546,93.793,3.957,4.586,4.502,4.681,3.709,471.294,23.447,2228.363,0.536
4.458,3.172,211.687,2.183,2.759,4.656,1.948,3.418,659.308,26.344,3403.376,2.145
3.568,3.764,282.21,3.833,3.834,2.985,2.75,3.39,1408.134,34.778,5013.742,2.145
2.944,4.869,196.025,2.374,2.019,3.231,4.409,3.149,404.661,22.068,2287.404,0.536
2.42,3.649,155.558,3.765,2.944,4.749,4.526,3.195,414.708,22.411,2370.297,0.0
2.26,4.832,123.905,2.936,3.397,2.298,4.953,3.589,296.237,20.332,1883.506,1.072
3.914,3.965,18.966,2.538,3.906,1.787,4.601,3.742,144.632,16.29,387.501,0.536
3.498,3.863,221.155,3.848,3.892,3.881,2.63,3.981,646.037,26.916,4767.774,0.0
2.703,4.027,343.862,3.642,2.868,2.929,3.426,3.986,1394.014,33.869,5691.792,0.536
2.257,3.377,87.325,3.938,3.564,5.446,2.552,3.39,302.196,21.037,2422.982,0.0
2.744,4.618,136.633,1.944,2.177,5.631,2.915,3.128,254.763,19.806,1321.48,0.804
3.323,4.887,149.28,2.628,4.965,2.567,1.183,3.319,942.313,30.056,19968.87,2.413
4.108,3.458,31.414,1.422,2.452,5.765,4.671,3.533,68.63,13.281,261.264,1.34
2.697,3.162,192.271,3.65,4.499,2.953,3.965,3.563,879.623,27.49,4343.254,0.0
4.411,3.009,19.887,2.087,2.343,3.763,1.175,3.143,89.194,14.452,1908.966,1.609
4.219,4.67,11.101,2.407,2.306,1.044,2.678,3.079,38.266,11.324,292.129,1.34
