 ACAP, DOCU, FLEX, KLOC, PREC, SITE, TEAM, TIME, EFFORT-, MONTHS-, DEFECTS-, RISKS-
4.656,1.712,2.097,331.914,1.673,2.911,4.413,3.189,1273.535,33.202,9412.368,0.0
4.078,4.568,2.621,201.573,3.175,3.551,2.765,3.294,1637.802,36.306,14379.766,0.0
4.806,3.405,2.563,384.22,2.36,5.8,3.952,3.216,2008.661,36.863,3981.463,0.268
3.937,4.27,2.42,222.345,3.251,4.362,1.051,3.566,2654.603,42.121,8943.082,0.536
3.847,2.02,2.3,43.401,1.138,5.672,2.7,3.74,133.286,16.655,757.731,0.0
4.235,1.383,2.93,93.319,1.855,4.565,3.723,3.375,491.836,24.03,3093.098,0.0
4.262,1.142,2.715,78.128,1.753,3.229,1.781,3.533,709.163,28.127,5525.797,0.0
3.542,4.046,2.883,138.631,3.588,4.248,2.104,3.144,1068.062,31.242,5391.219,1.072
4.258,2.35,1.238,330.048,1.931,5.625,1.68,3.716,2338.155,41.271,15993.022,1.609
4.195,3.574,4.942,54.842,3.451,3.279,4.481,3.364,321.747,20.422,1492.789,0.536
3.19,1.821,4.324,54.25,1.118,2.26,2.241,3.834,689.836,27.599,8801.361,1.072
4.514,3.152,4.237,383.315,1.689,3.927,1.111,3.493,2178.656,38.308,13026.021,0.0
3.111,2.89,4.651,189.214,2.455,1.516,1.704,3.45,1132.275,30.455,5704.546,2.145
3.033,4.644,4.609,407.271,4.131,1.283,1.422,3.732,3249.74,41.285,8905.448,0.536
3.876,1.69,4.372,369.336,4.603,5.738,2.69,3.239,1307.266,32.124,8631.456,0.0
3.364,3.293,4.008,356.241,3.576,4.607,2.175,3.725,1633.664,34.927,30788.152,0.0
4.044,3.265,1.169,97.863,1.646,1.26,4.942,3.893,522.117,25.477,5032.658,0.0
3.792,3.183,1.856,159.679,4.841,5.064,1.325,3.744,1304.822,32.585,6481.511,0.536
4.215,1.352,1.458,303.822,4.37,3.157,3.446,3.483,2205.596,39.269,28645.093,0.536
3.394,2.943,3.963,201.142,4.316,1.359,4.145,3.898,1713.396,34.152,3904.085,0.0
4.13,2.875,4.769,7.313,2.348,5.019,4.37,3.844,29.291,10.193,68.188,0.0
4.437,1.092,3.124,106.124,4.744,2.359,4.595,3.965,640.819,25.359,5676.162,0.536
4.412,1.416,3.981,222.286,1.924,3.152,3.038,3.198,539.089,25.06,14452.195,0.0
3.232,1.568,4.777,121.782,1.1,5.608,4.633,3.789,428.535,22.833,3472.956,0.536
4.25,3.863,1.629,118.037,4.445,2.856,2.151,3.554,631.957,26.345,2172.419,0.0
4.35,1.896,1.935,398.951,2.51,2.262,2.896,3.109,2513.468,39.82,11576.366,0.268
3.273,3.051,2.547,251.442,1.59,2.13,4.197,3.979,2878.358,42.856,16906.677,0.0
3.885,1.94,4.722,135.09,4.846,4.565,3.484,3.42,804.706,26.743,3545.56,0.268
4.447,1.561,3.774,139.488,1.024,2.895,2.36,3.894,621.528,25.849,6179.079,0.0
4.513,2.306,3.187,294.413,2.8,3.875,4.138,3.418,2497.666,38.777,24430.853,0.0
3.219,1.634,4.523,187.884,4.959,4.524,4.905,3.492,552.022,23.948,8497.433,0.0
4.733,2.078,3.125,355.296,4.923,1.99,2.736,3.031,976.044,30.055,11252.303,0.268
4.395,2.658,4.575,229.284,3.857,3.513,1.733,3.085,1721.442,35.633,14885.701,1.609
4.932,3.915,4.756,72.581,1.661,5.735,2.303,3.995,239.662,19.751,1788.42,0.0
4.027,4.406,3.496,344.468,1.169,1.739,1.454,3.189,1246.757,32.311,11065.307,0.536
4.754,1.28,4.443,246.857,2.998,1.924,1.557,3.12,1205.48,31.962,15746.3,0.536
3.172,4.087,2.262,41.412,3.737,3.553,4.286,3.087,554.8,25.058,2515.734,0.268
3.862,2.098,4.45,397.937,2.775,1.174,3.442,3.792,3149.989,42.886,14290.865,0.0
3.921,1.806,1.531,325.905,3.603,4.304,2.484,3.416,757.237,27.682,3658.41,0.0
4.12,2.383,3.59,369.221,3.72,5.655,3.676,3.325,1039.083,29.357,5425.311,0.0
3.357,2.738,3.776,148.28,4.813,5.999,4.086,3.24,478.289,22.708,2194.052,0.0
3.481,2.203,4.345,186.348,4.505,5.013,4.782,3.715,1187.726,30.225,6159.085,0.0
4.981,4.039,2.546,204.399,4.087,1.785,2.945,3.439,808.059,28.039,1794.346,0.268
3.357,4.765,1.801,65.137,1.973,2.34,1.025,3.12,570.469,26.991,3154.335,1.877
4.316,1.807,2.993,361.708,1.243,2.592,4.471,3.495,2769.05,41.505,30043.528,0.536
4.588,2.301,4.905,328.481,2.316,2.427,2.82,3.996,1141.984,31.408,25769.6,0.0
3.214,1.263,3.645,291.392,4.363,2.344,3.365,3.831,1524.425,34.171,15304.168,0.0
4.047,2.119,2.482,89.834,4.79,5.238,3.519,3.063,447.072,22.944,3629.555,0.804
3.845,4.906,4.311,290.502,3.082,4.953,1.257,3.307,908.647,28.702,3124.689,1.609
4.024,3.618,4.311,30.714,1.285,2.311,3.835,3.971,285.335,20.915,1622.758,0.0
4.838,1.663,4.834,339.758,3.357,1.105,4.91,3.156,1898.347,34.366,14143.308,0.536
4.681,4.784,4.636,169.69,3.225,2.873,1.384,3.364,1128.577,31.109,2889.374,0.804
4.958,3.476,2.956,37.085,1.043,1.739,4.618,3.049,148.797,16.735,621.78,0.0
3.488,1.967,1.553,147.567,3.162,3.947,2.746,3.634,809.728,29.115,7343.883,0.268
3.556,4.979,1.598,152.791,3.626,3.736,2.225,3.128,667.115,26.963,1853.757,0.0
4.044,1.282,3.079,383.656,1.91,5.975,2.424,3.313,2459.867,39.941,16793.023,1.072
3.691,2.954,2.768,187.762,3.528,5.415,1.622,3.52,1344.537,33.35,4523.897,0.536
3.115,1.719,1.684,162.301,1.656,3.38,4.811,3.831,922.318,29.574,10906.469,0.0
4.255,1.108,3.867,395.766,3.834,2.816,3.889,3.79,1686.21,34.36,12536.21,0.0
4.684,2.496,3.209,360.677,3.538,5.341,2.049,3.916,1460.583,33.929,9485.77,0.0
4.423,1.637,3.301,224.456,1.516,5.466,1.547,3.783,1189.483,33.394,5232.44,1.609
3.208,3.078,4.338,240.154,3.727,5.855,1.284,3.79,586.814,25.736,2812.498,0.536
3.472,1.061,1.883,376.243,3.474,4.453,4.613,3.571,2425.189,39.561,18615.103,0.0
4.725,4.653,3.491,407.924,1.979,1.676,2.423,3.874,2450.56,41.627,23991.589,0.268
3.371,3.394,2.806,237.13,2.954,4.34,4.718,3.892,3677.383,44.775,11536.128,0.536
4.208,4.538,4.628,325.638,4.749,3.397,3.05,3.86,1801.421,34.241,8115.499,0.0
3.807,4.422,2.363,102.589,3.62,1.391,2.877,3.235,827.864,28.262,2775.966,1.34
3.326,1.585,2.755,22.769,3.214,3.213,4.902,3.918,155.083,16.603,866.172,0.268
3.814,4.935,2.445,111.035,4.695,4.731,3.83,3.518,767.998,26.774,1492.294,0.0
4.874,1.376,2.673,25.895,2.296,5.184,1.483,3.627,120.255,16.32,1152.261,1.609
4.788,4.549,3.922,59.855,3.478,5.194,4.11,3.048,287.553,20.33,843.075,0.536
3.747,1.093,1.937,109.446,4.535,3.271,2.411,3.534,436.766,22.958,1833.957,0.0
4.964,3.175,4.752,300.985,1.182,2.613,2.535,3.11,1898.549,37.235,21848.666,0.0
4.082,4.782,2.753,121.905,3.261,3.999,3.022,3.973,475.583,23.709,2299.574,0.0
4.23,4.345,2.664,379.178,2.985,5.39,4.098,3.135,1815.755,37.119,7482.25,0.0
4.055,4.904,3.306,80.846,1.901,2.232,2.412,3.377,714.79,27.056,4441.014,0.0
3.107,1.836,2.193,307.756,4.932,3.098,4.428,3.098,1357.865,32.606,12829.57,0.536
3.709,4.111,3.639,387.306,2.218,2.862,3.195,3.006,2418.861,40.324,13847.239,0.0
3.32,1.48,2.258,280.378,1.106,2.732,1.044,3.722,910.455,30.305,7993.817,0.268
4.979,2.209,4.247,98.13,2.45,2.184,3.544,3.524,450.984,23.196,3330.295,0.0
3.461,4.226,4.556,156.67,3.438,5.729,4.148,3.59,780.545,26.583,2601.884,0.0
4.673,4.837,4.355,32.781,2.19,5.201,1.625,3.582,319.05,21.449,811.42,0.268
4.273,3.645,4.842,267.92,4.322,1.757,4.229,3.745,2492.21,37.5,5988.327,0.0
3.042,3.561,1.358,275.761,1.667,1.814,3.887,3.676,1520.746,35.751,16684.798,0.536
4.167,2.383,2.77,315.044,1.514,1.309,3.613,3.225,1285.553,32.84,10480.133,0.0
3.954,3.736,1.221,392.77,2.221,4.618,3.8,3.889,3016.063,45.238,19870.307,0.0
4.106,4.3,4.517,132.036,1.477,3.342,1.692,3.209,1523.641,33.614,7256.628,0.0
4.238,2.721,2.951,159.514,4.905,3.172,2.065,3.729,615.12,25.856,3923.026,0.0
4.74,3.236,3.83,246.702,1.159,1.248,3.41,3.865,3788.551,45.733,12911.502,0.268
4.11,3.691,2.164,391.06,4.624,1.093,1.772,3.943,3020.295,42.585,70201.871,1.34
4.452,2.565,1.919,65.006,4.696,1.296,1.146,3.366,434.74,23.156,3890.138,1.072
3.006,2.207,3.67,303.214,2.76,2.72,4.252,3.932,753.467,26.943,5477.899,0.0
3.981,1.202,4.569,174.462,4.146,5.378,3.993,3.33,345.362,20.966,1873.99,0.0
3.715,1.197,3.973,61.906,3.343,5.54,3.539,3.229,118.178,15.563,732.755,0.268
4.188,2.267,4.785,260.542,3.407,1.601,2.036,3.623,1898.774,35.622,20490.44,1.609
3.795,2.991,4.514,292.594,2.385,1.172,2.499,3.963,2665.583,40.59,30375.104,1.34
4.058,1.409,3.353,9.35,3.897,5.152,3.774,3.977,42.872,11.334,174.559,0.536
4.16,1.265,1.807,277.016,1.413,1.208,3.543,3.876,1317.831,33.172,4528.145,0.0
3.465,3.496,1.046,16.348,3.448,3.925,3.574,3.996,112.826,15.459,404.223,0.0
3.226,3.926,4.213,230.978,4.911,4.104,1.727,3.008,1636.885,34.315,8701.175,0.0
4.355,1.976,2.764,411.714,3.58,3.526,3.515,3.469,1804.159,34.803,18275.896,0.536
3.605,3.369,2.451,117.596,3.884,2.368,3.415,3.652,697.712,26.883,5299.135,0.536
3.316,2.747,1.085,370.24,2.238,1.718,4.854,3.684,1742.496,35.622,9090.736,0.0
3.153,1.358,2.564,326.406,1.938,4.368,4.031,3.157,1196.552,32.359,4426.213,0.0
4.413,3.064,1.908,282.232,1.903,3.151,3.373,3.603,1937.754,38.649,16504.597,0.0
4.776,1.62,1.606,132.549,2.452,4.032,4.565,3.087,435.306,23.345,1038.216,0.0
4.022,3.854,4.488,417.044,2.478,3.774,4.111,3.131,1664.183,34.572,6897.072,0.0
3.673,2.101,3.911,89.035,2.301,1.255,2.395,3.78,512.244,24.804,6947.068,1.34
3.6,2.539,3.989,55.143,4.827,2.352,3.011,3.299,466.616,23.716,4576.882,0.804
4.934,2.666,2.436,18.6,1.149,2.162,1.362,3.775,154.197,17.462,871.486,0.268
3.466,1.217,2.804,390.092,3.412,2.411,4.728,3.188,1324.83,31.936,6393.474,0.0
