delayedInnodbLogFlush,delayedInnodbLogWrite,innodbFlushMethod,fsyncFlush,dsyncFlush,directFlush,binaryLog,innodbDoubleWrite,TempTableSize,InnodbBufferPoolSize,InnodbLogBufferSize,Performance-,Cpu-
0,0,1,0,0,1,0,1,65536,64,8,126.05994,1.457822
0,0,1,0,0,1,0,1,256,512,8,127.35552,1.750119
0,0,1,0,0,1,0,1,4096,512,8,123.98796,1.469696
0,0,1,0,0,1,0,1,65536,512,8,121.53854,1.383748
0,0,1,0,0,1,0,1,256,8,64,162.12026,1.898354
0,0,1,0,0,1,0,1,4096,8,64,161.54806,1.999973
0,0,1,0,0,1,0,1,65536,8,64,154.93498,1.824661
0,0,1,0,0,1,0,1,256,64,64,126.68666,1.362611
0,0,1,0,0,1,0,1,4096,64,64,132.82736,1.464663
0,0,1,0,0,1,0,1,65536,64,64,126.07158,1.741613
0,0,1,0,0,1,0,1,256,512,64,128.03164,1.571178
0,0,1,0,0,1,0,1,4096,512,64,126.58534,1.682616
0,0,1,0,0,1,0,1,65536,512,64,123.21752,1.246849
0,0,1,0,0,1,1,0,256,8,1,155.27954,1.842733
0,0,1,0,0,1,1,0,4096,8,1,150.15492,2.060039
0,0,1,0,0,1,1,0,65536,8,1,151.12408,1.907998
0,0,1,0,0,1,1,0,256,64,1,121.65688,1.333871
0,0,1,0,0,1,1,0,4096,64,1,125.14584,1.431587
0,0,1,0,0,1,1,0,65536,64,1,130.5549,1.531994
0,0,1,0,0,1,1,0,256,512,1,123.03776,1.16818
0,0,1,0,0,1,1,0,4096,512,1,127.9971,1.559436
0,0,1,0,0,1,1,0,65536,512,1,120.80258,1.194001
0,0,1,0,0,1,1,0,256,8,8,157.02718,1.99184
0,0,1,0,0,1,1,0,4096,8,8,157.59948,1.830451
0,0,1,0,0,1,1,0,65536,8,8,154.82452,2.294987
0,0,1,0,0,1,1,0,256,64,8,124.88612,1.320295
0,0,1,0,0,1,1,0,4096,64,8,122.51534,1.656669
0,0,1,0,0,1,1,0,65536,64,8,129.98792,1.444396
0,0,1,0,0,1,1,0,256,512,8,126.42628,1.579648
0,0,1,0,0,1,1,0,4096,512,8,126.54116,1.560528
0,0,1,0,0,1,1,0,65536,512,8,127.09406,1.381109
0,0,1,0,0,1,1,0,256,8,64,151.09998,2.204678
0,0,1,0,0,1,1,0,4096,8,64,150.9635,1.965873
0,0,1,0,0,1,1,0,65536,8,64,154.80834,1.745686
0,0,1,0,0,1,1,0,256,64,64,130.7902,1.321967
0,0,1,0,0,1,1,0,4096,64,64,124.37072,1.721281
0,0,1,0,0,1,1,0,65536,64,64,128.23782,1.559468
0,0,1,0,0,1,1,0,256,512,64,123.42444,1.377862
0,0,1,0,0,1,1,0,4096,512,64,130.41156,1.263372
0,0,1,0,0,1,1,0,65536,512,64,130.63224,1.52009
0,0,1,0,0,1,1,1,256,8,1,157.41666,1.494255
0,0,1,0,0,1,1,1,4096,8,1,158.9126,1.959304
0,0,1,0,0,1,1,1,65536,8,1,149.68294,1.926974
0,0,1,0,0,1,1,1,256,64,1,132.66998,1.408362
0,0,1,0,0,1,1,1,4096,64,1,119.60958,1.642139
0,0,1,0,0,1,1,1,65536,64,1,122.40158,1.23289
0,0,1,0,0,1,1,1,256,512,1,128.5144,1.551751
0,0,1,0,0,1,1,1,4096,512,1,125.47892,1.210172
0,0,1,0,0,1,1,1,65536,512,1,126.42044,1.582104
0,0,1,0,0,1,1,1,256,8,8,156.3033,1.689799
0,0,1,0,0,1,1,1,4096,8,8,160.3014,2.130753
0,0,1,0,0,1,1,1,65536,8,8,157.0833,1.425985
0,0,1,0,0,1,1,1,256,64,8,123.3531,1.378146
0,0,1,0,0,1,1,1,4096,64,8,128.6533,1.348687
0,0,1,0,0,1,1,1,65536,64,8,128.07834,1.602019
0,0,1,0,0,1,1,1,256,512,8,127.2561,1.377975
0,0,1,0,0,1,1,1,4096,512,8,127.03776,1.501572
0,0,1,0,0,1,1,1,65536,512,8,127.933,1.438098
0,0,1,0,0,1,1,1,256,8,64,161.1823,2.048742
0,0,1,0,0,1,1,1,4096,8,64,156.44024,2.226143
0,0,1,0,0,1,1,1,65536,8,64,158.61462,2.098585
0,0,1,0,0,1,1,1,256,64,64,119.71472,1.488606
0,0,1,0,0,1,1,1,4096,64,64,134.6838,1.646697
0,0,1,0,0,1,1,1,65536,64,64,126.18942,2.00295
0,0,1,0,0,1,1,1,256,512,64,132.45906,1.564298
0,0,1,0,0,1,1,1,4096,512,64,125.4029,1.415624
0,0,1,0,0,1,1,1,65536,512,64,132.96178,1.629191
0,0,1,0,1,0,0,0,256,8,1,133.8734,1.629767
0,0,1,0,1,0,0,0,4096,8,1,130.38654,1.13963
0,0,1,0,1,0,0,0,65536,8,1,134.8711,1.557334
0,0,1,0,1,0,0,0,256,64,1,125.8765,1.006087
0,0,1,0,1,0,0,0,4096,64,1,122.5031,1.363616
0,0,1,0,1,0,0,0,65536,64,1,126.95272,1.597676
0,0,1,0,1,0,0,0,256,512,1,121.76812,1.27899
0,0,1,0,1,0,0,0,4096,512,1,124.4384,1.628472
0,0,1,0,1,0,0,0,65536,512,1,116.54328,1.389615
0,0,1,0,1,0,0,0,256,8,8,141.5357,1.769572
0,0,1,0,1,0,0,0,4096,8,8,130.19062,1.466909
0,0,1,0,1,0,0,0,65536,8,8,143.47706,1.668514
0,0,1,0,1,0,0,0,256,64,8,118.71272,1.5011
0,0,1,0,1,0,0,0,4096,64,8,122.11334,1.20315
0,0,1,0,1,0,0,0,65536,64,8,130.33546,1.890753
0,0,1,0,1,0,0,0,256,512,8,120.04518,1.573407
0,0,1,0,1,0,0,0,4096,512,8,128.82076,1.897337
0,0,1,0,1,0,0,0,65536,512,8,123.5542,1.426465
0,0,1,0,1,0,0,0,256,8,64,136.3216,1.946421
0,0,1,0,1,0,0,0,4096,8,64,142.59304,1.510988
0,0,1,0,1,0,0,0,65536,8,64,127.47296,1.880571
0,0,1,0,1,0,0,0,256,64,64,125.147,1.644293
0,0,1,0,1,0,0,0,4096,64,64,129.5978,1.524885
0,0,1,0,1,0,0,0,65536,64,64,122.31586,1.886204
0,0,1,0,1,0,0,0,256,512,64,123.74038,1.611203
0,0,1,0,1,0,0,0,4096,512,64,122.58516,1.466546
0,0,1,0,1,0,0,0,65536,512,64,119.98422,1.701327
0,0,1,0,1,0,0,1,256,8,1,144.14208,1.83276
0,0,1,0,1,0,0,1,4096,8,1,133.04866,1.691575
0,0,1,0,1,0,0,1,65536,8,1,143.37686,1.844424
0,0,1,0,1,0,0,1,256,64,1,119.4129,1.575699
0,0,1,0,1,0,0,1,4096,64,1,126.88348,1.261422
0,0,1,0,1,0,0,1,65536,64,1,128.19488,1.464963
0,0,1,0,1,0,0,1,256,512,1,123.35668,1.580099
0,0,1,0,1,0,0,1,4096,512,1,121.12112,1.155343
0,0,1,0,1,0,0,1,65536,512,1,128.17996,1.764325
0,0,1,0,1,0,0,1,256,8,8,138.82874,1.488569
0,0,1,0,1,0,0,1,4096,8,8,141.44516,1.625194
0,0,1,0,1,0,0,1,65536,8,8,137.57252,1.754225
0,0,1,0,1,0,0,1,256,64,8,121.81652,1.404087
0,0,1,0,1,0,0,1,4096,64,8,125.32428,1.2336
0,0,1,0,1,0,0,1,65536,64,8,121.66166,1.482934
0,0,1,0,1,0,0,1,256,512,8,129.32582,1.646597
0,0,1,0,1,0,0,1,4096,512,8,119.49762,1.807068
0,0,1,0,1,0,0,1,65536,512,8,124.18236,1.026111
0,0,1,0,1,0,0,1,256,8,64,148.7905,1.703029
0,0,1,0,1,0,0,1,4096,8,64,137.68756,1.646818
0,0,1,0,1,0,0,1,65536,8,64,136.82162,1.95678
0,0,1,0,1,0,0,1,256,64,64,130.206,1.169775
0,0,1,0,1,0,0,1,4096,64,64,124.30566,1.682117
0,0,1,0,1,0,0,1,65536,64,64,119.65122,1.264763
0,0,1,0,1,0,0,1,256,512,64,126.58268,2.009261
0,0,1,0,1,0,0,1,4096,512,64,120.55142,1.372268
0,0,1,0,1,0,0,1,65536,512,64,127.48132,1.562408
0,0,1,0,1,0,1,0,256,8,1,137.3268,1.834557
0,0,1,0,1,0,1,0,4096,8,1,133.35806,1.505042
0,0,1,0,1,0,1,0,65536,8,1,130.74398,1.530792
0,0,1,0,1,0,1,0,256,64,1,124.93068,1.411595
0,0,1,0,1,0,1,0,4096,64,1,122.34024,1.390332
0,0,1,0,1,0,1,0,65536,64,1,117.1161,1.795213
0,0,1,0,1,0,1,0,256,512,1,122.39848,1.493003
0,0,1,0,1,0,1,0,4096,512,1,126.16168,1.702317
0,0,1,0,1,0,1,0,65536,512,1,122.94006,1.441977
0,0,1,0,1,0,1,0,256,8,8,129.6758,1.015333
0,0,1,0,1,0,1,0,4096,8,8,138.4986,1.671332
0,0,1,0,1,0,1,0,65536,8,8,132.15158,1.487781
0,0,1,0,1,0,1,0,256,64,8,127.43578,1.569792
0,0,1,0,1,0,1,0,4096,64,8,125.81428,1.697235
0,0,1,0,1,0,1,0,65536,64,8,116.6673,1.311471
0,0,1,0,1,0,1,0,256,512,8,128.44016,1.548895
0,0,1,0,1,0,1,0,4096,512,8,120.16428,1.414445
0,0,1,0,1,0,1,0,65536,512,8,124.34794,1.569804
0,0,1,0,1,0,1,0,256,8,64,141.05542,1.742446
0,0,1,0,1,0,1,0,4096,8,64,133.70762,1.478482
0,0,1,0,1,0,1,0,65536,8,64,128.97906,2.099344
0,0,1,0,1,0,1,0,256,64,64,132.12074,1.432306
0,0,1,0,1,0,1,0,4096,64,64,118.49984,1.41949
0,0,1,0,1,0,1,0,65536,64,64,123.32718,1.27111
0,0,1,0,1,0,1,0,256,512,64,123.84286,1.408529
0,0,1,0,1,0,1,0,4096,512,64,122.86904,1.680751
0,0,1,0,1,0,1,0,65536,512,64,122.49424,1.128398
0,0,1,0,1,0,1,1,256,8,1,152.217,1.605086
0,0,1,0,1,0,1,1,4096,8,1,145.03374,1.430137
0,0,1,0,1,0,1,1,65536,8,1,141.3474,1.519938
0,0,1,0,1,0,1,1,256,64,1,121.5259,1.682117
0,0,1,0,1,0,1,1,4096,64,1,122.40266,1.80298
0,0,1,0,1,0,1,1,65536,64,1,123.2026,1.333408
0,0,1,0,1,0,1,1,256,512,1,121.89858,1.820294
0,0,1,0,1,0,1,1,4096,512,1,117.17612,1.298267
0,0,1,0,1,0,1,1,65536,512,1,132.1251,1.388255
0,0,1,0,1,0,1,1,256,8,8,141.39298,1.443126
0,0,1,0,1,0,1,1,4096,8,8,137.38848,1.84968
0,0,1,0,1,0,1,1,65536,8,8,143.58672,1.35325
0,0,1,0,1,0,1,1,256,64,8,123.13778,1.478042
0,0,1,0,1,0,1,1,4096,64,8,129.69056,1.826111
0,0,1,0,1,0,1,1,65536,64,8,119.44074,1.372873
0,0,1,0,1,0,1,1,256,512,8,125.4251,1.677186
0,0,1,0,1,0,1,1,4096,512,8,127.32126,1.357107
0,0,1,0,1,0,1,1,65536,512,8,123.79126,1.448659
0,0,1,0,1,0,1,1,256,8,64,140.65262,1.471644
0,0,1,0,1,0,1,1,4096,8,64,142.03192,1.754841
0,0,1,0,1,0,1,1,65536,8,64,149.00528,1.614242
0,0,1,0,1,0,1,1,256,64,64,120.3985,1.420064
0,0,1,0,1,0,1,1,4096,64,64,127.76354,1.426794
0,0,1,0,1,0,1,1,65536,64,64,120.87956,1.590652
0,0,1,0,1,0,1,1,256,512,64,128.1722,1.396306
0,0,1,0,1,0,1,1,4096,512,64,119.87162,1.253264
0,0,1,0,1,0,1,1,65536,512,64,128.42286,1.683331
0,0,1,1,0,0,0,0,256,8,1,134.159,1.62925
0,0,1,1,0,0,0,0,4096,8,1,134.07314,1.39758
0,0,1,1,0,0,0,0,65536,8,1,142.92294,1.488141
0,0,1,1,0,0,0,0,256,64,1,128.05728,1.466917
0,0,1,1,0,0,0,0,4096,64,1,127.08366,1.591151
0,0,1,1,0,0,0,0,65536,64,1,132.8667,1.231662
0,0,1,1,0,0,0,0,256,512,1,121.01138,1.719791
0,0,1,1,0,0,0,0,4096,512,1,130.80306,1.503728
0,0,1,1,0,0,0,0,65536,512,1,122.68394,1.396448
0,0,1,1,0,0,0,0,256,8,8,141.8665,1.548027
0,0,1,1,0,0,0,0,4096,8,8,133.94498,1.866964
0,0,1,1,0,0,0,0,65536,8,8,130.92508,1.403209
0,0,1,1,0,0,0,0,256,64,8,132.22466,1.197131
0,0,1,1,0,0,0,0,4096,64,8,133.23082,1.630159
0,0,1,1,0,0,0,0,65536,64,8,118.74762,1.446614
0,0,1,1,0,0,0,0,256,512,8,132.97902,1.66641
0,0,1,1,0,0,0,0,4096,512,8,122.03872,1.480963
0,0,1,1,0,0,0,0,65536,512,8,125.83226,1.49532
0,0,1,1,0,0,0,0,256,8,64,145.7535,1.462866
0,0,1,1,0,0,0,0,4096,8,64,136.8618,1.678085
0,0,1,1,0,0,0,0,65536,8,64,130.15928,1.442969
0,0,1,1,0,0,0,0,256,64,64,123.8099,1.596892
0,0,1,1,0,0,0,0,4096,64,64,120.69796,1.716505
0,0,1,1,0,0,0,0,65536,64,64,132.61108,1.485803
0,0,1,1,0,0,0,0,256,512,64,121.16048,1.500106
0,0,1,1,0,0,0,0,4096,512,64,133.14894,1.423739
0,0,1,1,0,0,0,0,65536,512,64,121.19756,1.73453
0,0,1,1,0,0,0,1,256,8,1,144.50336,1.758027
0,0,1,1,0,0,0,1,4096,8,1,153.89284,1.881601
0,0,1,1,0,0,0,1,65536,8,1,140.5177,1.430121
0,0,1,1,0,0,0,1,256,64,1,129.07092,1.432028
0,0,1,1,0,0,0,1,4096,64,1,126.43004,1.277515
0,0,1,1,0,0,0,1,65536,64,1,126.37066,1.494093
0,0,1,1,0,0,0,1,256,512,1,124.15222,1.387837
0,0,1,1,0,0,0,1,4096,512,1,130.82618,1.638218
0,0,1,1,0,0,0,1,65536,512,1,128.19848,1.439258
0,0,1,1,0,0,0,1,256,8,8,151.1579,1.520737
0,0,1,1,0,0,0,1,4096,8,8,148.08202,1.394788
0,0,1,1,0,0,0,1,65536,8,8,151.05694,1.650477
0,0,1,1,0,0,0,1,256,64,8,125.81394,1.839141
0,0,1,1,0,0,0,1,4096,64,8,132.5364,1.897054
0,0,1,1,0,0,0,1,65536,64,8,123.03554,1.522313
0,0,1,1,0,0,0,1,256,512,8,127.2568,0.999933
0,0,1,1,0,0,0,1,4096,512,8,128.96538,1.759583
0,0,1,1,0,0,0,1,65536,512,8,124.1885,1.421139
0,0,1,1,0,0,0,1,256,8,64,148.80866,1.232522
0,0,1,1,0,0,0,1,4096,8,64,148.83304,1.620391
0,0,1,1,0,0,0,1,65536,8,64,137.99884,1.54027
0,0,1,1,0,0,0,1,256,64,64,132.98276,1.324177
0,0,1,1,0,0,0,1,4096,64,64,128.1323,1.498164
0,0,1,1,0,0,0,1,65536,64,64,122.30182,1.403352
0,0,1,1,0,0,0,1,256,512,64,133.24688,1.257523
0,0,1,1,0,0,0,1,4096,512,64,122.01272,1.943388
0,0,1,1,0,0,0,1,65536,512,64,128.86494,1.168381
0,0,1,1,0,0,1,0,256,8,1,139.07924,1.595521
0,0,1,1,0,0,1,0,4096,8,1,136.3501,1.238061
0,0,1,1,0,0,1,0,65536,8,1,144.74576,1.73227
0,0,1,1,0,0,1,0,256,64,1,122.84808,1.807505
0,0,1,1,0,0,1,0,4096,64,1,134.19488,1.48222
0,0,1,1,0,0,1,0,65536,64,1,123.75996,1.889404
0,0,1,1,0,0,1,0,256,512,1,130.67152,1.731978
0,0,1,1,0,0,1,0,4096,512,1,124.62308,1.680199
0,0,1,1,0,0,1,0,65536,512,1,126.68664,1.483985
0,0,1,1,0,0,1,0,256,8,8,138.83882,1.074046
0,0,1,1,0,0,1,0,4096,8,8,137.61756,1.86639
0,0,1,1,0,0,1,0,65536,8,8,142.7193,1.286163
0,0,1,1,0,0,1,0,256,64,8,126.9735,1.53017
0,0,1,1,0,0,1,0,4096,64,8,124.86756,1.427063
0,0,1,1,0,0,1,0,65536,64,8,127.55812,1.531904
0,0,1,1,0,0,1,0,256,512,8,127.84854,1.685403
0,0,1,1,0,0,1,0,4096,512,8,123.19344,1.412848
0,0,1,1,0,0,1,0,65536,512,8,126.48614,1.253172
0,0,1,1,0,0,1,0,256,8,64,135.55848,1.603472
0,0,1,1,0,0,1,0,4096,8,64,133.4588,1.408511
0,0,1,1,0,0,1,0,65536,8,64,145.82314,1.636433
0,0,1,1,0,0,1,0,256,64,64,123.0529,1.590185
0,0,1,1,0,0,1,0,4096,64,64,124.1402,1.325738
0,0,1,1,0,0,1,0,65536,64,64,127.22164,1.503695
0,0,1,1,0,0,1,0,256,512,64,124.73216,1.32842
0,0,1,1,0,0,1,0,4096,512,64,125.74888,1.5224
0,0,1,1,0,0,1,0,65536,512,64,124.91988,1.463451
0,0,1,1,0,0,1,1,256,8,1,153.34724,1.774068
0,0,1,1,0,0,1,1,4096,8,1,145.38846,1.954675
0,0,1,1,0,0,1,1,65536,8,1,143.50224,1.983888
0,0,1,1,0,0,1,1,256,64,1,130.18698,1.510569
0,0,1,1,0,0,1,1,4096,64,1,125.53138,1.692899
0,0,1,1,0,0,1,1,65536,64,1,130.16412,1.626869
0,0,1,1,0,0,1,1,256,512,1,125.1743,1.315792
0,0,1,1,0,0,1,1,4096,512,1,122.16874,1.566934
0,0,1,1,0,0,1,1,65536,512,1,126.69042,1.428141
0,0,1,1,0,0,1,1,256,8,8,148.29248,1.720221
0,0,1,1,0,0,1,1,4096,8,8,156.57734,1.729643
0,0,1,1,0,0,1,1,65536,8,8,153.00598,1.986938
0,0,1,1,0,0,1,1,256,64,8,122.72676,1.962542
0,0,1,1,0,0,1,1,4096,64,8,125.00436,1.464293
0,0,1,1,0,0,1,1,65536,64,8,128.36516,1.563304
0,0,1,1,0,0,1,1,256,512,8,127.02076,1.308379
0,0,1,1,0,0,1,1,4096,512,8,126.52104,1.400822
0,0,1,1,0,0,1,1,65536,512,8,129.23546,1.612053
0,0,1,1,0,0,1,1,256,8,64,138.19588,1.426723
0,0,1,1,0,0,1,1,4096,8,64,148.77424,1.954623
0,0,1,1,0,0,1,1,65536,8,64,141.86936,1.767402
0,0,1,1,0,0,1,1,256,64,64,133.82132,1.24546
0,0,1,1,0,0,1,1,4096,64,64,123.58968,1.719715
0,0,1,1,0,0,1,1,65536,64,64,131.60388,1.563443
0,0,1,1,0,0,1,1,256,512,64,123.58372,1.636371
0,0,1,1,0,0,1,1,4096,512,64,128.14302,1.542525
0,0,1,1,0,0,1,1,65536,512,64,130.5639,1.494999
1,0,1,0,0,1,0,0,256,8,1,75.8466,1.678044
1,0,1,0,0,1,0,0,4096,8,1,77.60244,1.67495
1,0,1,0,0,1,0,0,65536,8,1,78.72336,1.87872
1,0,1,0,0,1,0,0,256,64,1,62.38484,1.863994
1,0,1,0,0,1,0,0,4096,64,1,68.59646,1.569654
1,0,1,0,0,1,0,0,65536,64,1,60.23758,1.813419
1,0,1,0,0,1,0,0,256,512,1,61.98094,1.511192
1,0,1,0,0,1,0,0,4096,512,1,62.97342,1.660102
1,0,1,0,0,1,0,0,65536,512,1,61.84758,1.604656
1,0,1,0,0,1,0,0,256,8,8,84.33534,1.706804
1,0,1,0,0,1,0,0,4096,8,8,79.64902,1.669167
1,0,1,0,0,1,0,0,65536,8,8,73.71034,1.818578
1,0,1,0,0,1,0,0,256,64,8,64.62572,1.475431
1,0,1,0,0,1,0,0,4096,64,8,61.02256,1.568272
1,0,1,0,0,1,0,0,65536,64,8,62.47892,1.581144
1,0,1,0,0,1,0,0,256,512,8,70.28,1.374048
1,0,1,0,0,1,0,0,4096,512,8,63.32776,1.607193
1,0,1,0,0,1,0,0,65536,512,8,65.4326,1.65053
1,0,1,0,0,1,0,0,256,8,64,83.01896,1.553875
1,0,1,0,0,1,0,0,4096,8,64,81.96672,1.825311
1,0,1,0,0,1,0,0,65536,8,64,72.72898,2.009956
1,0,1,0,0,1,0,0,256,64,64,61.80882,1.639737
1,0,1,0,0,1,0,0,4096,64,64,59.7906,1.642395
1,0,1,0,0,1,0,0,65536,64,64,60.6387,1.534681
1,0,1,0,0,1,0,0,256,512,64,61.56876,1.762496
1,0,1,0,0,1,0,0,4096,512,64,62.67342,1.522044
1,0,1,0,0,1,0,0,65536,512,64,59.52882,1.70313
1,0,1,0,0,1,0,1,256,8,1,73.65844,1.527346
1,0,1,0,0,1,0,1,4096,8,1,76.21606,1.679894
1,0,1,0,0,1,0,1,65536,8,1,76.97608,2.039967
1,0,1,0,0,1,0,1,256,64,1,61.28034,1.687854
1,0,1,0,0,1,0,1,4096,64,1,61.89508,1.423163
1,0,1,0,0,1,0,1,65536,64,1,66.48292,1.711983
1,0,1,0,0,1,0,1,256,512,1,65.02724,1.468128
1,0,1,0,0,1,0,1,4096,512,1,63.3468,1.555004
1,0,1,0,0,1,0,1,65536,512,1,61.96262,1.682841
1,0,1,0,0,1,0,1,256,8,8,76.3833,1.545906
1,0,1,0,0,1,0,1,4096,8,8,84.21766,1.743171
1,0,1,0,0,1,0,1,65536,8,8,73.36612,1.610391
1,0,1,0,0,1,0,1,256,64,8,63.12984,1.449233
1,0,1,0,0,1,0,1,4096,64,8,61.97414,1.658074
1,0,1,0,0,1,0,1,65536,64,8,61.23984,1.673059
1,0,1,0,0,1,0,1,256,512,8,67.56616,1.560462
1,0,1,0,0,1,0,1,4096,512,8,59.5797,1.629897
1,0,1,0,0,1,0,1,65536,512,8,61.49128,1.498008
1,0,1,0,0,1,0,1,256,8,64,71.6068,1.837903
1,0,1,0,0,1,0,1,4096,8,64,76.58684,1.75398
1,0,1,0,0,1,0,1,65536,8,64,68.906,1.586752
1,0,1,0,0,1,0,1,256,64,64,65.92006,1.52669
1,0,1,0,0,1,0,1,4096,64,64,67.2427,1.438938
1,0,1,0,0,1,0,1,65536,64,64,63.66458,1.509266
1,0,1,0,0,1,0,1,256,512,64,67.19642,1.614353
1,0,1,0,0,1,0,1,4096,512,64,61.26298,1.648408
1,0,1,0,0,1,0,1,65536,512,64,62.73068,1.57258
1,0,1,0,0,1,1,0,256,8,1,82.58612,1.792526
1,0,1,0,0,1,1,0,4096,8,1,78.15874,1.945534
1,0,1,0,0,1,1,0,65536,8,1,85.37784,1.830019
1,0,1,0,0,1,1,0,256,64,1,58.70572,1.785264
1,0,1,0,0,1,1,0,4096,64,1,62.1882,1.672015
1,0,1,0,0,1,1,0,65536,64,1,66.08812,1.538442
1,0,1,0,0,1,1,0,256,512,1,65.9521,1.648447
1,0,1,0,0,1,1,0,4096,512,1,63.48608,1.606061
1,0,1,0,0,1,1,0,65536,512,1,63.25352,1.74975
1,0,1,0,0,1,1,0,256,8,8,82.16748,1.743416
1,0,1,0,0,1,1,0,4096,8,8,76.8341,1.701391
1,0,1,0,0,1,1,0,65536,8,8,81.78796,1.982387
1,0,1,0,0,1,1,0,256,64,8,62.07534,1.514707
1,0,1,0,0,1,1,0,4096,64,8,66.38948,1.4169
1,0,1,0,0,1,1,0,65536,64,8,65.60718,1.453671
1,0,1,0,0,1,1,0,256,512,8,61.99804,1.670431
1,0,1,0,0,1,1,0,4096,512,8,61.58386,1.647083
1,0,1,0,0,1,1,0,65536,512,8,64.27176,1.804814
1,0,1,0,0,1,1,0,256,8,64,81.21746,1.718152
1,0,1,0,0,1,1,0,4096,8,64,80.35662,1.75908
1,0,1,0,0,1,1,0,65536,8,64,84.58386,1.792011
1,0,1,0,0,1,1,0,256,64,64,63.64128,1.620656
1,0,1,0,0,1,1,0,4096,64,64,65.6012,1.566191
1,0,1,0,0,1,1,0,65536,64,64,64.16496,1.644678
1,0,1,0,0,1,1,0,256,512,64,60.11624,1.747968
1,0,1,0,0,1,1,0,4096,512,64,60.91276,1.569413
1,0,1,0,0,1,1,0,65536,512,64,66.31668,1.476516
1,0,1,0,0,1,1,1,256,8,1,73.80676,1.613482
1,0,1,0,0,1,1,1,4096,8,1,77.55748,1.485537
1,0,1,0,0,1,1,1,65536,8,1,85.36528,1.642217
1,0,1,0,0,1,1,1,256,64,1,67.20746,1.522844
1,0,1,0,0,1,1,1,4096,64,1,64.51092,1.416166
1,0,1,0,0,1,1,1,65536,64,1,63.03016,1.62985
1,0,1,0,0,1,1,1,256,512,1,67.62936,1.735534
1,0,1,0,0,1,1,1,4096,512,1,67.87554,1.46336
1,0,1,0,0,1,1,1,65536,512,1,71.07574,1.404967
1,0,1,0,0,1,1,1,256,8,8,76.28194,1.611654
1,0,1,0,0,1,1,1,4096,8,8,71.6295,1.818391
1,0,1,0,0,1,1,1,65536,8,8,77.65294,1.689218
1,0,1,0,0,1,1,1,256,64,8,65.7913,1.643881
1,0,1,0,0,1,1,1,4096,64,8,63.87594,1.634562
1,0,1,0,0,1,1,1,65536,64,8,63.9062,1.751149
1,0,1,0,0,1,1,1,256,512,8,63.53994,1.559842
