N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,PRED40+,MRE-,ACC+
140,absolute_error,8,6.25,14,0.0,100.71,-0.7
80,squared_error,16,9.25,20,0.0,121.42,-13.04
160,absolute_error,1,7.0,9,0.0,100.63,-0.61
50,absolute_error,9,2.0,5,83.33333333,0.0,0.0
110,absolute_error,4,2.5,18,0.0,100.91,-0.88
70,poisson,16,4.5,14,0.0,119.62,-12.35
180,poisson,12,1.25,11,0.0,120.56,-12.71
10,absolute_error,5,8.5,19,83.33333333,0.0,0.0
30,squared_error,20,3.75,19,0.0,119.56,-12.32
100,squared_error,6,3.75,1,0.0,120.87,-12.83
100,absolute_error,13,3.25,13,83.33333333,0.0,0.0
100,poisson,16,4.75,11,0.0,119.8,-12.42
20,squared_error,16,7.0,10,0.0,117.0,-11.26
180,poisson,18,8.75,3,0.0,119.52,-12.31
120,poisson,18,2.75,2,0.0,121.61,-13.11
170,poisson,14,10.0,2,0.0,120.16,-12.56
60,absolute_error,17,9.0,5,83.33333333,0.0,0.0
10,poisson,11,3.75,2,0.0,127.33,-15.02
140,absolute_error,17,1.75,13,83.33333333,0.0,0.0
70,absolute_error,18,4.0,7,83.33333333,0.0,0.0
90,poisson,10,2.0,7,0.0,120.15,-12.56
120,squared_error,3,2.0,1,0.0,120.22,-12.59
140,squared_error,15,0.25,15,0.0,119.48,-12.29
170,poisson,18,3.0,1,0.0,119.73,-12.39
200,absolute_error,18,0.5,15,83.33333333,0.0,0.0
190,poisson,4,6.5,17,0.0,119.82,-12.43
100,squared_error,18,7.5,19,0.0,119.53,-12.32
40,poisson,12,3.0,13,0.0,119.33,-12.24
90,absolute_error,12,5.0,15,0.0,102.22,-2.08
10,absolute_error,11,5.25,7,83.33333333,0.0,0.0
70,absolute_error,7,5.25,2,83.33333333,0.0,0.0
30,squared_error,4,6.75,7,0.0,118.0,-11.69
30,squared_error,3,5.25,5,0.0,120.67,-12.76
90,poisson,16,8.0,10,0.0,120.0,-12.5
150,absolute_error,7,4.25,12,83.33333333,0.0,0.0
140,absolute_error,18,4.75,14,83.33333333,0.0,0.0
160,squared_error,5,8.0,5,0.0,118.62,-11.95
40,squared_error,19,3.5,15,0.0,119.5,-12.3
120,absolute_error,4,7.25,3,83.33333333,0.0,0.0
100,poisson,20,3.0,6,0.0,121.2,-12.96
130,absolute_error,17,8.0,14,83.33333333,0.0,0.0
160,absolute_error,4,2.5,5,83.33333333,0.0,0.0
160,squared_error,13,2.75,15,0.0,120.58,-12.73
100,poisson,3,4.5,11,0.0,120.47,-12.68
200,squared_error,12,0.75,16,0.0,119.93,-12.47
180,squared_error,13,1.0,12,0.0,120.74,-12.79
30,squared_error,9,9.75,6,0.0,119.56,-12.32
40,poisson,6,2.5,16,0.0,119.83,-12.43
140,squared_error,6,7.0,3,0.0,119.76,-12.41
60,poisson,2,6.0,12,0.0,119.89,-12.46
80,absolute_error,3,8.5,12,83.33333333,0.0,0.0
160,squared_error,18,5.75,10,0.0,121.37,-13.02
120,absolute_error,19,2.5,17,83.33333333,0.0,0.0
180,absolute_error,10,1.5,9,83.33333333,0.0,0.0
140,squared_error,6,1.25,5,0.0,119.52,-12.31
150,squared_error,13,6.25,5,0.0,121.2,-12.96
110,absolute_error,12,4.75,17,83.33333333,0.0,0.0
130,absolute_error,9,9.75,8,83.33333333,0.0,0.0
190,poisson,11,7.25,4,0.0,120.7,-12.77
40,absolute_error,7,6.25,2,0.0,102.5,-2.33
30,absolute_error,20,4.5,20,83.33333333,0.0,0.0
30,absolute_error,13,9.5,13,83.33333333,0.0,0.0
80,poisson,20,6.25,5,0.0,120.5,-12.69
110,absolute_error,10,4.5,15,0.0,101.82,-1.72
20,poisson,13,0.0,2,0.0,120.33,-12.63
40,squared_error,5,4.75,19,0.0,119.0,-12.1
20,absolute_error,5,3.0,9,83.33333333,0.0,0.0
100,squared_error,16,7.25,6,0.0,120.47,-12.68
80,squared_error,2,4.5,15,0.0,119.75,-12.4
10,squared_error,14,1.25,18,0.0,122.0,-13.25
50,squared_error,1,2.0,14,0.0,119.73,-12.4
60,squared_error,16,0.0,20,0.0,120.22,-12.59
150,poisson,20,1.75,5,0.0,120.27,-12.6
110,squared_error,9,1.5,4,0.0,118.85,-12.04
20,squared_error,9,8.25,18,0.0,116.67,-11.11
10,absolute_error,5,7.5,18,83.33333333,0.0,0.0
170,squared_error,20,9.25,13,0.0,120.16,-12.56
110,absolute_error,11,5.25,20,83.33333333,0.0,0.0
130,poisson,15,9.25,11,0.0,119.74,-12.4
50,poisson,2,9.75,5,0.0,121.2,-12.96
10,squared_error,10,6.75,2,0.0,120.67,-12.76
30,squared_error,3,1.25,8,0.0,121.78,-13.17
170,squared_error,13,0.0,7,0.0,119.37,-12.25
170,poisson,8,3.5,15,0.0,119.29,-12.22
150,poisson,12,7.75,9,0.0,120.67,-12.76
150,absolute_error,4,1.25,2,83.33333333,0.0,0.0
90,absolute_error,18,5.5,5,83.33333333,0.0,0.0
140,poisson,2,8.75,17,0.0,119.0,-12.1
50,absolute_error,15,0.0,11,83.33333333,0.0,0.0
110,poisson,2,8.75,18,0.0,119.33,-12.24
160,poisson,12,8.5,3,0.0,120.75,-12.79
80,squared_error,4,2.5,13,0.0,118.67,-11.97
120,absolute_error,12,7.5,13,0.0,100.83,-0.81
130,poisson,15,9.0,15,0.0,120.77,-12.8
30,absolute_error,10,4.75,8,83.33333333,0.0,0.0
90,poisson,10,7.75,15,0.0,117.7,-11.56
130,squared_error,4,6.0,16,0.0,119.49,-12.3
70,poisson,12,4.5,15,0.0,118.76,-12.0
20,squared_error,13,3.75,10,0.0,120.67,-12.76
30,squared_error,4,2.5,14,0.0,124.22,-14.03
110,squared_error,6,1.25,11,0.0,121.21,-12.96
170,squared_error,1,3.5,13,0.0,120.31,-12.62
150,squared_error,10,8.5,18,0.0,121.6,-13.11
90,squared_error,3,6.75,9,0.0,120.22,-12.59
140,absolute_error,6,1.5,4,83.33333333,0.0,0.0
200,poisson,6,9.25,2,0.0,120.77,-12.8
110,poisson,19,0.5,15,0.0,119.7,-12.38
140,poisson,15,6.0,20,0.0,119.86,-12.44
190,squared_error,17,7.25,15,0.0,120.56,-12.72
100,absolute_error,13,7.0,15,83.33333333,0.0,0.0
70,poisson,15,4.25,3,0.0,120.19,-12.57
120,absolute_error,16,4.75,19,83.33333333,0.0,0.0
130,absolute_error,14,9.75,10,83.33333333,0.0,0.0
120,poisson,19,0.25,10,0.0,120.0,-12.5
150,squared_error,10,4.5,2,0.0,119.73,-12.4
130,poisson,4,2.0,7,0.0,120.72,-12.78
30,absolute_error,20,0.25,9,83.33333333,0.0,0.0
20,poisson,3,1.0,17,0.0,123.0,-13.61
30,squared_error,15,4.0,12,0.0,123.56,-13.8
60,poisson,15,5.25,17,0.0,119.89,-12.46
40,poisson,1,7.0,17,0.0,122.0,-13.25
180,poisson,8,4.25,20,0.0,120.85,-12.83
120,absolute_error,20,9.75,2,83.33333333,0.0,0.0
140,poisson,8,1.25,9,0.0,121.43,-13.04
50,absolute_error,20,4.25,2,83.33333333,0.0,0.0
90,poisson,6,7.75,2,0.0,118.96,-12.09
70,absolute_error,18,7.25,4,83.33333333,0.0,0.0
60,poisson,20,7.25,2,0.0,120.11,-12.54
20,squared_error,2,9.75,10,0.0,117.67,-11.55
120,absolute_error,11,7.0,5,83.33333333,0.0,0.0
160,squared_error,6,1.75,13,0.0,118.37,-11.85
60,squared_error,19,7.0,14,0.0,119.67,-12.37
100,absolute_error,9,2.75,19,83.33333333,0.0,0.0
130,poisson,20,6.0,19,0.0,118.77,-12.01
130,squared_error,19,9.25,19,0.0,119.54,-12.32
100,squared_error,13,4.0,18,0.0,120.07,-12.53
180,squared_error,4,3.0,3,0.0,119.22,-12.19
120,poisson,18,2.5,5,0.0,119.83,-12.43
170,squared_error,17,7.0,13,0.0,119.53,-12.31
190,absolute_error,19,6.0,5,0.0,101.58,-1.51
180,squared_error,2,8.0,9,0.0,120.7,-12.77
120,absolute_error,17,5.75,11,83.33333333,0.0,0.0
120,absolute_error,6,9.25,6,0.0,100.83,-0.81
200,squared_error,15,6.25,15,0.0,120.57,-12.72
140,squared_error,1,0.0,17,16.66666667,133.57,-10.76
100,poisson,16,8.5,10,0.0,119.47,-12.29
90,poisson,20,9.75,6,0.0,119.63,-12.35
60,poisson,11,8.25,10,0.0,117.0,-11.26
70,squared_error,6,9.75,13,0.0,118.38,-11.85
60,squared_error,8,6.75,19,0.0,122.22,-13.33
180,absolute_error,7,8.75,16,0.0,100.56,-0.55
90,squared_error,8,5.75,15,0.0,121.41,-13.04
90,squared_error,17,3.5,18,0.0,120.96,-12.87
200,poisson,2,7.5,17,0.0,120.73,-12.78
120,poisson,9,5.25,2,0.0,122.0,-13.25
190,squared_error,2,4.5,4,0.0,119.89,-12.46
100,absolute_error,1,0.0,8,16.66666667,135.5,-7.56
10,absolute_error,6,4.0,2,0.0,110.0,-7.69
70,absolute_error,11,5.0,11,83.33333333,0.0,0.0
70,squared_error,3,0.75,19,0.0,118.19,-11.77
140,squared_error,4,6.75,13,0.0,119.62,-12.35
190,squared_error,9,2.25,7,0.0,118.28,-11.81
150,squared_error,16,6.5,11,0.0,120.27,-12.6
120,squared_error,4,3.0,12,0.0,121.67,-13.13
160,squared_error,14,5.5,19,0.0,119.5,-12.3
120,poisson,4,5.5,15,0.0,119.94,-12.48
110,poisson,7,5.25,18,0.0,119.45,-12.28
70,squared_error,13,1.75,14,0.0,119.62,-12.35
130,absolute_error,6,0.75,9,0.0,101.54,-1.47
180,poisson,13,8.75,5,0.0,120.67,-12.76
160,squared_error,3,9.5,1,0.0,118.58,-11.93
110,absolute_error,4,9.0,3,83.33333333,0.0,0.0
30,squared_error,12,5.5,5,0.0,121.56,-13.09
140,squared_error,2,4.0,2,0.0,120.43,-12.67
70,poisson,12,1.25,16,0.0,119.05,-12.12
170,absolute_error,20,0.75,19,0.0,100.59,-0.58
90,squared_error,20,3.5,19,0.0,117.7,-11.56
90,poisson,5,7.5,10,0.0,120.52,-12.7
80,absolute_error,17,6.75,3,83.33333333,0.0,0.0
120,poisson,14,4.0,10,0.0,120.28,-12.61
200,squared_error,9,5.5,12,0.0,120.73,-12.78
20,squared_error,3,1.5,7,0.0,120.33,-12.63
120,squared_error,12,6.5,10,0.0,121.39,-13.03
200,absolute_error,16,1.25,3,0.0,101.0,-0.97
10,poisson,5,9.0,4,0.0,122.67,-13.49
60,squared_error,2,5.25,3,0.0,120.44,-12.67
170,squared_error,12,0.25,17,0.0,120.16,-12.56
200,absolute_error,6,5.0,3,83.33333333,0.0,0.0
170,squared_error,13,2.75,9,0.0,120.24,-12.59
180,absolute_error,1,9.25,5,0.0,100.56,-0.55
140,squared_error,9,1.25,6,0.0,121.0,-12.88
180,absolute_error,5,0.25,14,0.0,101.11,-0.81
130,absolute_error,8,1.5,6,83.33333333,0.0,0.0
50,poisson,19,7.5,5,0.0,121.87,-13.2
100,squared_error,12,1.25,11,0.0,121.67,-13.13
50,squared_error,13,9.75,17,0.0,117.07,-11.29
70,poisson,1,5.75,10,0.0,121.05,-12.9
170,poisson,8,8.25,9,0.0,121.76,-13.17
130,absolute_error,15,4.5,1,0.0,100.77,-0.75
100,poisson,20,5.5,14,0.0,120.27,-12.6
50,poisson,5,7.75,6,0.0,119.33,-12.24
10,absolute_error,18,9.5,4,83.33333333,0.0,0.0
10,poisson,15,6.25,10,0.0,116.67,-11.11
20,absolute_error,5,8.5,19,83.33333333,0.0,0.0
10,poisson,15,10.0,12,0.0,122.0,-13.25
100,absolute_error,19,5.75,18,83.33333333,0.0,0.0
60,poisson,18,10.0,8,0.0,120.44,-12.67
70,squared_error,10,1.0,10,0.0,121.24,-12.97
70,absolute_error,17,2.0,17,83.33333333,0.0,0.0
140,poisson,2,9.5,3,0.0,120.0,-12.5
140,absolute_error,5,7.25,15,0.0,101.43,-1.37
60,poisson,14,8.25,12,0.0,120.67,-12.76
140,absolute_error,2,8.5,4,0.0,101.43,-1.37
120,absolute_error,18,3.25,11,83.33333333,0.0,0.0
140,poisson,2,1.25,9,0.0,119.52,-12.31
140,squared_error,9,1.75,13,0.0,119.19,-12.18
190,squared_error,13,8.75,4,0.0,120.63,-12.74
60,poisson,20,1.75,17,0.0,123.56,-13.8
160,absolute_error,3,2.25,16,0.0,101.88,-1.78
50,squared_error,20,0.75,19,0.0,119.07,-12.13
180,squared_error,13,5.75,4,0.0,120.81,-12.81
170,poisson,18,8.5,11,0.0,120.55,-12.71
200,poisson,1,9.75,13,0.0,120.1,-12.54
90,squared_error,13,9.5,20,0.0,120.37,-12.64
60,absolute_error,12,8.75,3,83.33333333,0.0,0.0
10,poisson,10,6.5,11,0.0,125.33,-14.39
40,squared_error,6,7.5,1,0.0,118.67,-11.97
10,squared_error,17,6.0,5,0.0,116.0,-10.81
160,absolute_error,5,5.0,2,83.33333333,0.0,0.0
20,absolute_error,20,9.5,13,83.33333333,0.0,0.0
10,squared_error,3,5.25,1,0.0,115.33,-10.5
110,squared_error,16,2.25,16,0.0,120.06,-12.52
100,poisson,10,3.0,15,0.0,117.47,-11.46
90,poisson,2,0.0,12,0.0,125.48,-15.91
180,absolute_error,19,2.0,3,83.33333333,0.0,0.0
20,absolute_error,4,3.5,18,0.0,105.0,-4.35
10,poisson,14,8.25,15,0.0,124.67,-14.18
180,poisson,13,2.5,18,0.0,121.37,-13.02
110,absolute_error,20,10.0,18,0.0,100.91,-0.88
10,absolute_error,14,9.0,14,83.33333333,0.0,0.0
130,absolute_error,8,1.25,1,83.33333333,0.0,0.0
90,squared_error,20,1.0,7,0.0,120.0,-12.5
200,squared_error,9,8.5,14,0.0,120.77,-12.8
180,absolute_error,3,1.25,4,83.33333333,0.0,0.0
150,absolute_error,7,9.0,13,83.33333333,0.0,0.0
10,squared_error,5,9.0,11,0.0,119.33,-12.24
70,squared_error,6,9.25,18,0.0,120.48,-12.68
170,poisson,3,2.5,3,0.0,118.98,-12.09
80,squared_error,2,4.5,1,0.0,120.08,-12.53
30,squared_error,18,0.75,11,0.0,119.56,-12.32
90,poisson,2,1.75,18,0.0,120.81,-12.81
20,poisson,4,1.5,17,0.0,120.33,-12.63
50,squared_error,9,0.75,20,0.0,117.6,-11.52
160,squared_error,20,4.25,15,0.0,120.67,-12.76
110,poisson,20,2.25,4,0.0,120.18,-12.57
40,absolute_error,7,7.0,18,83.33333333,0.0,0.0
170,poisson,1,3.0,16,0.0,120.2,-12.58
60,squared_error,19,7.5,15,0.0,120.22,-12.59
130,squared_error,4,0.25,5,0.0,119.64,-12.36
200,absolute_error,3,6.5,9,83.33333333,0.0,0.0
50,absolute_error,1,9.75,13,83.33333333,0.0,0.0
60,poisson,4,6.5,1,0.0,120.78,-12.8
130,absolute_error,16,5.25,19,0.0,100.77,-0.75
120,squared_error,4,5.5,8,0.0,120.61,-12.74
180,poisson,3,8.0,7,0.0,119.56,-12.32
200,squared_error,2,5.75,3,0.0,119.67,-12.37
140,squared_error,17,6.5,2,0.0,121.19,-12.95
150,squared_error,18,7.75,1,0.0,119.07,-12.13
90,absolute_error,19,4.0,8,83.33333333,0.0,0.0
120,squared_error,20,9.75,2,0.0,118.06,-11.71
150,poisson,14,8.75,3,0.0,118.31,-11.82
120,absolute_error,17,8.75,2,83.33333333,0.0,0.0
20,poisson,17,2.75,7,0.0,118.0,-11.69
120,absolute_error,14,3.5,4,83.33333333,0.0,0.0
20,poisson,16,9.25,20,0.0,121.0,-12.88
40,squared_error,9,2.5,20,0.0,119.5,-12.3
50,squared_error,18,0.5,8,0.0,119.47,-12.29
150,absolute_error,17,7.25,15,83.33333333,0.0,0.0
10,absolute_error,12,7.5,8,83.33333333,0.0,0.0
150,poisson,6,5.0,7,0.0,121.16,-12.94
120,poisson,4,8.25,1,0.0,119.94,-12.48
140,absolute_error,20,0.0,12,83.33333333,0.0,0.0
50,poisson,15,4.25,5,0.0,120.8,-12.81
60,poisson,5,2.25,5,0.0,122.0,-13.25
100,squared_error,14,4.75,16,0.0,119.4,-12.26
150,absolute_error,15,4.5,2,0.0,101.33,-1.28
190,absolute_error,17,5.25,4,83.33333333,0.0,0.0
190,absolute_error,6,5.5,11,0.0,100.53,-0.52
40,poisson,19,6.0,12,0.0,123.67,-13.84
80,poisson,17,9.0,15,0.0,119.92,-12.47
140,absolute_error,11,7.0,9,0.0,100.71,-0.7
70,absolute_error,18,7.5,12,83.33333333,0.0,0.0
110,absolute_error,2,6.75,7,83.33333333,0.0,0.0
110,squared_error,9,4.75,6,0.0,120.06,-12.52
150,poisson,9,3.25,16,0.0,120.49,-12.69
90,poisson,13,9.25,3,0.0,121.33,-13.01
20,absolute_error,16,10.0,4,83.33333333,0.0,0.0
120,absolute_error,16,9.5,19,83.33333333,0.0,0.0
170,poisson,3,8.25,15,0.0,120.51,-12.7
30,absolute_error,14,0.75,20,83.33333333,0.0,0.0
110,squared_error,8,8.0,14,0.0,119.7,-12.38
110,poisson,9,3.5,20,0.0,119.33,-12.24
130,squared_error,13,0.0,6,0.0,120.82,-12.82
170,poisson,8,7.5,16,0.0,118.78,-12.01
160,squared_error,11,6.75,19,0.0,119.29,-12.22
130,absolute_error,6,6.75,7,83.33333333,0.0,0.0
100,poisson,5,1.75,3,0.0,118.67,-11.97
80,poisson,14,2.75,11,0.0,121.5,-13.07
110,squared_error,9,4.25,18,0.0,120.55,-12.71
160,squared_error,14,6.75,15,0.0,120.12,-12.55
130,squared_error,12,1.5,8,0.0,120.56,-12.72
180,squared_error,8,1.5,20,0.0,120.96,-12.87
150,absolute_error,18,8.5,19,0.0,100.67,-0.65
20,absolute_error,18,4.0,8,83.33333333,0.0,0.0
80,poisson,10,0.5,19,0.0,121.0,-12.88
80,poisson,7,9.75,13,0.0,122.25,-13.34
200,absolute_error,17,8.0,20,0.0,101.0,-0.97
170,poisson,11,7.75,16,0.0,121.8,-13.18
160,poisson,7,7.75,6,0.0,120.5,-12.69
190,squared_error,8,4.25,4,0.0,120.28,-12.61
40,absolute_error,20,8.5,12,83.33333333,0.0,0.0
200,absolute_error,13,8.25,14,0.0,100.5,-0.49
130,poisson,13,7.25,11,0.0,121.85,-13.2
150,squared_error,20,4.75,13,0.0,121.02,-12.89
40,squared_error,13,5.5,19,0.0,120.33,-12.63
80,squared_error,12,8.5,15,0.0,118.92,-12.07
20,poisson,5,7.0,11,0.0,118.67,-11.97
160,absolute_error,18,8.5,4,83.33333333,0.0,0.0
150,squared_error,14,2.75,3,0.0,119.82,-12.43
80,absolute_error,6,1.25,6,83.33333333,0.0,0.0
170,squared_error,14,4.0,18,0.0,119.06,-12.13
170,squared_error,3,3.5,15,0.0,120.24,-12.59
170,poisson,17,9.0,17,0.0,121.06,-12.91
120,absolute_error,10,1.0,11,0.0,100.83,-0.81
130,poisson,9,2.25,4,0.0,119.59,-12.34
180,absolute_error,12,2.5,1,0.0,100.56,-0.55
70,poisson,9,2.25,18,0.0,118.67,-11.97
130,absolute_error,8,5.0,5,83.33333333,0.0,0.0
40,poisson,4,6.0,14,0.0,119.33,-12.24
20,poisson,11,2.0,5,0.0,120.33,-12.63
180,absolute_error,14,1.25,5,83.33333333,0.0,0.0
50,poisson,16,1.0,17,0.0,122.27,-13.35
80,absolute_error,8,0.5,20,83.33333333,0.0,0.0
40,squared_error,9,0.25,4,0.0,120.5,-12.69
30,squared_error,6,5.75,5,0.0,117.78,-11.59
160,squared_error,13,2.0,7,0.0,120.21,-12.58
190,poisson,7,1.75,15,0.0,120.84,-12.82
170,absolute_error,6,0.0,1,83.33333333,0.0,0.0
130,poisson,13,4.0,17,0.0,121.18,-12.95
20,squared_error,8,0.0,17,0.0,117.0,-11.26
160,poisson,14,3.0,17,0.0,119.79,-12.42
70,squared_error,17,8.0,19,0.0,120.1,-12.54
150,squared_error,8,2.25,1,0.0,121.07,-12.91
90,poisson,11,10.0,12,0.0,120.3,-12.62
90,poisson,2,1.25,14,0.0,119.33,-12.24
30,squared_error,5,9.75,10,0.0,120.44,-12.67
120,poisson,18,0.25,1,0.0,120.22,-12.59
10,absolute_error,11,0.5,16,83.33333333,0.0,0.0
150,poisson,10,4.0,9,0.0,120.36,-12.64
180,absolute_error,4,10.0,9,0.0,101.11,-1.08
150,poisson,4,3.5,7,0.0,121.38,-13.02
90,absolute_error,17,8.75,4,83.33333333,0.0,0.0
110,poisson,7,8.25,13,0.0,119.7,-12.38
140,absolute_error,4,8.75,7,0.0,101.43,-1.37
150,absolute_error,18,3.25,2,83.33333333,0.0,0.0
10,poisson,12,8.5,19,0.0,120.0,-12.5
190,absolute_error,16,4.75,14,0.0,100.53,-0.52
80,poisson,18,6.0,1,0.0,118.5,-11.9
110,absolute_error,6,3.75,17,0.0,100.91,-0.88
190,absolute_error,7,9.25,14,0.0,101.05,-1.02
200,poisson,4,10.0,11,0.0,120.5,-12.69
200,squared_error,3,6.25,2,0.0,120.8,-12.81
170,squared_error,5,7.25,16,0.0,120.2,-12.58
150,absolute_error,12,3.0,1,83.33333333,0.0,0.0
160,poisson,15,2.25,9,0.0,119.29,-12.22
80,absolute_error,15,5.5,3,83.33333333,0.0,0.0
160,squared_error,6,1.25,5,0.0,121.29,-12.99
180,squared_error,3,2.0,16,0.0,121.04,-12.9
100,squared_error,9,5.75,14,0.0,120.87,-12.83
30,absolute_error,4,6.0,17,83.33333333,0.0,0.0
80,poisson,10,3.25,3,0.0,120.67,-12.76
20,absolute_error,16,9.0,7,83.33333333,0.0,0.0
30,absolute_error,4,6.5,11,83.33333333,0.0,0.0
120,absolute_error,1,2.75,9,83.33333333,0.0,0.0
100,poisson,9,8.75,8,0.0,118.8,-12.02
120,absolute_error,5,0.0,14,0.0,101.67,-1.2
10,poisson,7,8.25,4,0.0,115.33,-10.5
20,squared_error,13,3.0,16,0.0,116.67,-11.11
170,absolute_error,16,7.25,6,83.33333333,0.0,0.0
190,squared_error,19,3.25,20,0.0,119.05,-12.12
140,squared_error,2,9.0,5,0.0,120.48,-12.68
130,absolute_error,19,9.0,1,0.0,101.54,-1.47
110,poisson,9,4.0,9,0.0,119.27,-12.21
200,squared_error,10,6.0,9,0.0,120.7,-12.77
60,poisson,13,9.25,3,0.0,120.67,-12.76
60,poisson,15,2.75,17,0.0,119.0,-12.1
180,squared_error,18,7.25,8,0.0,120.44,-12.67
30,absolute_error,15,7.25,9,0.0,103.33,-3.03
30,absolute_error,13,9.0,6,83.33333333,0.0,0.0
160,squared_error,10,1.75,19,0.0,117.75,-11.58
190,squared_error,12,9.0,15,0.0,120.32,-12.62
200,absolute_error,15,7.0,16,0.0,100.5,-0.49
90,poisson,20,1.5,12,0.0,118.52,-11.9
180,squared_error,9,4.5,3,0.0,119.41,-12.27
90,absolute_error,11,2.5,8,83.33333333,0.0,0.0
50,poisson,6,4.75,8,0.0,121.73,-13.16
30,squared_error,9,8.75,5,0.0,123.56,-13.8
160,absolute_error,7,5.5,19,83.33333333,0.0,0.0
110,absolute_error,12,7.0,18,0.0,101.82,-1.72
140,squared_error,18,0.25,17,0.0,120.33,-12.63
60,absolute_error,7,10.0,6,0.0,101.67,-1.59
10,squared_error,8,7.5,2,0.0,122.0,-13.25
180,poisson,3,3.0,17,0.0,121.22,-12.97
190,squared_error,19,4.5,1,0.0,120.04,-12.51
130,poisson,14,5.0,16,0.0,121.03,-12.89
40,absolute_error,12,3.0,13,83.33333333,0.0,0.0
90,poisson,6,8.0,16,0.0,121.04,-12.9
130,absolute_error,2,3.0,1,83.33333333,0.0,0.0
120,squared_error,5,7.75,4,0.0,120.56,-12.71
130,squared_error,12,2.0,15,0.0,120.1,-12.54
60,poisson,9,0.75,19,0.0,120.33,-12.63
140,squared_error,8,4.0,11,0.0,118.62,-11.95
30,absolute_error,6,1.25,5,83.33333333,0.0,0.0
130,absolute_error,9,7.75,20,83.33333333,0.0,0.0
10,squared_error,4,4.5,17,0.0,119.33,-12.24
90,absolute_error,3,6.5,1,83.33333333,0.0,0.0
10,poisson,14,5.75,4,0.0,114.67,-10.19
70,absolute_error,5,6.75,16,83.33333333,0.0,0.0
10,absolute_error,11,5.5,9,83.33333333,0.0,0.0
130,squared_error,5,0.0,14,0.0,126.91,-14.54
180,poisson,6,0.0,1,0.0,119.33,-12.33
70,squared_error,1,4.25,4,0.0,120.67,-12.76
150,poisson,20,10.0,7,0.0,120.67,-12.76
30,absolute_error,20,5.75,6,83.33333333,0.0,0.0
50,poisson,1,2.25,3,0.0,118.27,-11.8
130,squared_error,10,3.25,9,0.0,120.36,-12.64
190,squared_error,18,6.0,14,0.0,118.74,-11.99
60,absolute_error,6,3.25,13,83.33333333,0.0,0.0
110,absolute_error,17,9.75,17,0.0,100.91,-0.88
40,squared_error,8,0.75,5,0.0,119.83,-12.43
70,squared_error,9,4.25,14,0.0,121.33,-13.01
50,poisson,5,0.75,16,0.0,121.6,-13.11
10,poisson,18,10.0,18,0.0,118.0,-11.69
30,absolute_error,9,3.75,10,83.33333333,0.0,0.0
150,squared_error,9,8.25,18,0.0,119.91,-12.47
190,poisson,4,4.25,6,0.0,120.28,-12.61
30,squared_error,12,7.75,9,0.0,119.33,-12.24
190,absolute_error,14,4.5,17,83.33333333,0.0,0.0
140,squared_error,1,4.5,17,0.0,121.24,-12.97
50,absolute_error,3,6.25,17,83.33333333,0.0,0.0
20,squared_error,5,7.0,8,0.0,120.0,-12.5
40,squared_error,5,9.25,7,0.0,118.17,-11.76
60,squared_error,1,4.0,20,0.0,119.89,-12.46
140,absolute_error,6,7.0,14,83.33333333,0.0,0.0
60,poisson,5,9.5,18,0.0,120.11,-12.54
