N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,PRED40+,MRE-,ACC+
50,absolute_error,9,2.0,5,37.5,100.0,0.0
110,absolute_error,4,2.5,18,37.5,100.0,0.0
70,poisson,16,4.5,14,25.0,69.74,8.78
180,poisson,12,1.25,11,25.0,73.99,7.45
10,absolute_error,5,8.5,19,37.5,100.0,0.0
30,squared_error,20,3.75,19,0.0,75.73,6.92
100,squared_error,6,3.75,1,0.0,77.7,6.32
100,absolute_error,13,3.25,13,37.5,100.0,0.0
100,poisson,16,4.75,11,0.0,75.0,7.14
20,squared_error,16,7.0,10,0.0,82.13,5.0
180,poisson,18,8.75,3,25.0,73.51,7.6
120,poisson,18,2.75,2,25.0,72.31,7.97
170,poisson,14,10.0,2,25.0,74.91,7.17
60,absolute_error,17,9.0,5,37.5,100.0,0.0
10,poisson,11,3.75,2,0.0,77.85,6.28
140,absolute_error,17,1.75,13,37.5,100.0,0.0
70,absolute_error,18,4.0,7,37.5,100.0,0.0
90,poisson,10,2.0,7,0.0,76.46,6.7
120,squared_error,3,2.0,1,25.0,73.03,9.6
140,squared_error,15,0.25,15,25.0,73.36,7.65
170,poisson,18,3.0,1,25.0,72.76,7.83
200,absolute_error,18,0.5,15,37.5,100.0,0.0
190,poisson,4,6.5,17,0.0,75.25,7.07
100,squared_error,18,7.5,19,25.0,73.25,7.68
40,poisson,12,3.0,13,0.0,79.66,5.74
90,absolute_error,12,5.0,15,37.5,100.0,0.0
10,absolute_error,11,5.25,7,37.5,100.0,0.0
70,absolute_error,7,5.25,2,37.5,100.0,0.0
30,squared_error,4,6.75,7,25.0,73.32,7.66
30,squared_error,3,5.25,5,0.0,80.04,5.62
90,poisson,16,8.0,10,25.0,72.2,8.01
150,absolute_error,7,4.25,12,37.5,100.0,0.0
140,absolute_error,18,4.75,14,37.5,100.0,0.0
160,squared_error,5,8.0,5,25.0,73.46,7.61
40,squared_error,19,3.5,15,25.0,70.23,8.62
120,absolute_error,4,7.25,3,37.5,100.0,0.0
100,poisson,20,3.0,6,25.0,70.13,8.65
130,absolute_error,17,8.0,14,37.5,100.0,0.0
160,absolute_error,4,2.5,5,0.0,99.74,0.07
160,squared_error,13,2.75,15,25.0,73.89,7.48
100,poisson,3,4.5,11,0.0,76.45,6.7
200,squared_error,12,0.75,16,25.0,74.95,7.16
180,squared_error,13,1.0,12,25.0,73.88,7.49
30,squared_error,9,9.75,6,0.0,76.75,6.61
40,poisson,6,2.5,16,25.0,72.86,7.8
140,squared_error,6,7.0,3,25.0,73.43,7.62
60,poisson,2,6.0,12,25.0,73.76,7.52
80,absolute_error,3,8.5,12,37.5,100.0,0.0
160,squared_error,18,5.75,10,25.0,74.78,7.21
120,absolute_error,19,2.5,17,37.5,100.0,0.0
180,absolute_error,10,1.5,9,37.5,100.0,0.0
140,squared_error,6,1.25,5,0.0,75.35,5.85
150,squared_error,13,6.25,5,25.0,73.0,7.76
110,absolute_error,12,4.75,17,37.5,100.0,0.0
130,absolute_error,9,9.75,8,0.0,99.68,0.09
190,poisson,11,7.25,4,25.0,72.2,8.01
40,absolute_error,7,6.25,2,37.5,100.0,0.0
30,absolute_error,20,4.5,20,37.5,100.0,0.0
30,absolute_error,13,9.5,13,37.5,100.0,0.0
80,poisson,20,6.25,5,25.0,71.82,8.13
110,absolute_error,10,4.5,15,0.0,99.62,0.1
20,poisson,13,0.0,2,0.0,78.07,6.21
40,squared_error,5,4.75,19,0.0,76.32,6.74
20,absolute_error,5,3.0,9,37.5,100.0,0.0
100,squared_error,16,7.25,6,0.0,75.31,7.05
80,squared_error,2,4.5,15,25.0,73.0,8.96
10,squared_error,14,1.25,18,0.0,81.14,5.3
50,squared_error,1,2.0,14,37.5,64.18,33.03
60,squared_error,16,0.0,20,25.0,74.78,7.21
150,poisson,20,1.75,5,25.0,73.29,7.67
110,squared_error,9,1.5,4,25.0,72.93,7.78
20,squared_error,9,8.25,18,25.0,62.28,11.18
10,absolute_error,5,7.5,18,37.5,100.0,0.0
170,squared_error,20,9.25,13,0.0,75.46,7.0
110,absolute_error,11,5.25,20,0.0,99.62,0.1
130,poisson,15,9.25,11,25.0,73.23,7.69
50,poisson,2,9.75,5,25.0,69.69,8.79
10,squared_error,10,6.75,2,0.0,75.88,6.88
30,squared_error,3,1.25,8,25.0,67.44,6.97
170,squared_error,13,0.0,7,25.0,71.45,8.24
170,poisson,8,3.5,15,25.0,72.82,7.81
150,poisson,12,7.75,9,25.0,73.87,7.49
150,absolute_error,4,1.25,2,37.5,100.0,0.0
90,absolute_error,18,5.5,5,37.5,100.0,0.0
140,poisson,2,8.75,17,25.0,73.86,7.49
50,absolute_error,15,0.0,11,0.0,99.17,0.22
110,poisson,2,8.75,18,25.0,74.76,7.22
160,poisson,12,8.5,3,25.0,73.6,7.57
80,squared_error,4,2.5,13,0.0,76.73,7.73
120,absolute_error,12,7.5,13,37.5,100.0,0.0
130,poisson,15,9.0,15,25.0,73.4,7.64
30,absolute_error,10,4.75,8,37.5,100.0,0.0
90,poisson,10,7.75,15,25.0,72.2,8.01
130,squared_error,4,6.0,16,25.0,72.87,7.8
70,poisson,12,4.5,15,25.0,72.68,7.86
20,squared_error,13,3.75,10,0.0,77.63,6.34
30,squared_error,4,2.5,14,12.5,75.82,4.61
110,squared_error,6,1.25,11,25.0,72.06,8.43
170,squared_error,1,3.5,13,0.0,76.67,10.15
150,squared_error,10,8.5,18,25.0,72.43,7.94
90,squared_error,3,6.75,9,0.0,77.66,6.34
140,absolute_error,6,1.5,4,37.5,100.0,0.0
200,poisson,6,9.25,2,25.0,74.93,7.16
110,poisson,19,0.5,15,25.0,72.41,7.94
140,poisson,15,6.0,20,25.0,72.56,7.9
190,squared_error,17,7.25,15,25.0,74.35,7.34
100,absolute_error,13,7.0,15,0.0,99.58,0.11
70,poisson,15,4.25,3,0.0,75.91,6.87
120,absolute_error,16,4.75,19,37.5,100.0,0.0
130,absolute_error,14,9.75,10,37.5,100.0,0.0
120,poisson,19,0.25,10,25.0,73.56,7.59
150,squared_error,10,4.5,2,25.0,70.96,8.39
130,poisson,4,2.0,7,25.0,73.75,7.53
30,absolute_error,20,0.25,9,37.5,100.0,0.0
20,poisson,3,1.0,17,12.5,76.0,6.84
30,squared_error,15,4.0,12,0.0,78.22,6.17
60,poisson,15,5.25,17,0.0,75.69,6.93
40,poisson,1,7.0,17,25.0,73.14,7.72
180,poisson,8,4.25,20,25.0,71.78,8.14
120,absolute_error,20,9.75,2,37.5,100.0,0.0
140,poisson,8,1.25,9,25.0,72.48,7.92
50,absolute_error,20,4.25,2,37.5,100.0,0.0
90,poisson,6,7.75,2,25.0,73.9,7.48
70,absolute_error,18,7.25,4,37.5,100.0,0.0
60,poisson,20,7.25,2,25.0,74.85,7.19
20,squared_error,2,9.75,10,25.0,73.79,7.51
120,absolute_error,11,7.0,5,37.5,100.0,0.0
160,squared_error,6,1.75,13,0.0,75.29,7.36
60,squared_error,19,7.0,14,25.0,70.18,8.64
100,absolute_error,9,2.75,19,37.5,100.0,0.0
130,poisson,20,6.0,19,25.0,73.77,7.52
130,squared_error,19,9.25,19,25.0,71.34,8.28
100,squared_error,13,4.0,18,25.0,74.5,7.3
180,squared_error,4,3.0,3,25.0,72.35,9.75
120,poisson,18,2.5,5,25.0,74.03,7.44
170,squared_error,17,7.0,13,25.0,74.48,7.3
190,absolute_error,19,6.0,5,0.0,99.78,0.06
180,squared_error,2,8.0,9,25.0,74.05,7.44
120,absolute_error,17,5.75,11,37.5,100.0,0.0
120,absolute_error,6,9.25,6,37.5,100.0,0.0
200,squared_error,15,6.25,15,25.0,72.14,8.03
140,squared_error,1,0.0,17,12.5,81.43,-16.43
100,poisson,16,8.5,10,0.0,76.71,6.62
90,poisson,20,9.75,6,25.0,74.46,7.31
60,poisson,11,8.25,10,25.0,72.3,7.98
70,squared_error,6,9.75,13,25.0,74.69,7.24
60,squared_error,8,6.75,19,25.0,70.39,8.57
180,absolute_error,7,8.75,16,0.0,99.77,0.06
90,squared_error,8,5.75,15,0.0,77.83,6.28
90,squared_error,17,3.5,18,25.0,73.49,7.61
200,poisson,2,7.5,17,25.0,74.85,7.19
120,poisson,9,5.25,2,25.0,73.79,7.51
190,squared_error,2,4.5,4,0.0,75.45,8.76
100,absolute_error,1,0.0,8,37.5,67.67,10.79
10,absolute_error,6,4.0,2,0.0,95.83,1.12
70,absolute_error,11,5.0,11,0.0,99.4,0.16
70,squared_error,3,0.75,19,25.0,69.09,18.28
140,squared_error,4,6.75,13,25.0,74.66,7.25
190,squared_error,9,2.25,7,0.0,75.06,7.13
150,squared_error,16,6.5,11,25.0,70.91,8.41
120,squared_error,4,3.0,12,12.5,73.88,4.41
160,squared_error,14,5.5,19,0.0,75.26,7.06
120,poisson,4,5.5,15,25.0,72.83,7.81
110,poisson,7,5.25,18,25.0,71.73,8.15
70,squared_error,13,1.75,14,25.0,72.34,7.96
130,absolute_error,6,0.75,9,37.5,100.0,0.0
180,poisson,13,8.75,5,25.0,73.64,7.56
160,squared_error,3,9.5,1,0.0,75.25,7.07
110,absolute_error,4,9.0,3,0.0,99.62,0.1
30,squared_error,12,5.5,5,25.0,71.56,8.21
140,squared_error,2,4.0,2,25.0,76.09,7.31
70,poisson,12,1.25,16,25.0,71.99,8.07
170,absolute_error,20,0.75,19,37.5,100.0,0.0
90,squared_error,20,3.5,19,25.0,71.03,8.37
90,poisson,5,7.5,10,25.0,73.03,7.75
80,absolute_error,17,6.75,3,37.5,100.0,0.0
120,poisson,14,4.0,10,25.0,73.54,7.59
200,squared_error,9,5.5,12,0.0,75.45,7.01
20,squared_error,3,1.5,7,25.0,69.86,10.43
120,squared_error,12,6.5,10,25.0,73.36,7.65
200,absolute_error,16,1.25,3,0.0,99.79,0.06
10,poisson,5,9.0,4,25.0,67.76,9.4
60,squared_error,2,5.25,3,0.0,75.64,9.27
170,squared_error,12,0.25,17,25.0,72.34,7.96
200,absolute_error,6,5.0,3,37.5,100.0,0.0
170,squared_error,13,2.75,9,25.0,72.02,8.06
180,absolute_error,1,9.25,5,37.5,100.0,0.0
140,squared_error,9,1.25,6,25.0,72.24,7.99
180,absolute_error,5,0.25,14,0.0,99.4,0.12
130,absolute_error,8,1.5,6,0.0,99.68,0.09
50,poisson,19,7.5,5,25.0,74.47,7.3
100,squared_error,12,1.25,11,25.0,73.97,7.46
50,squared_error,13,9.75,17,25.0,73.2,7.7
70,poisson,1,5.75,10,25.0,71.46,8.24
170,poisson,8,8.25,9,25.0,71.98,8.07
130,absolute_error,15,4.5,1,37.5,100.0,0.0
100,poisson,20,5.5,14,25.0,73.16,7.71
50,poisson,5,7.75,6,25.0,72.81,7.82
10,absolute_error,18,9.5,4,37.5,100.0,0.0
10,poisson,15,6.25,10,0.0,75.22,7.08
20,absolute_error,5,8.5,19,37.5,100.0,0.0
10,poisson,15,10.0,12,25.0,73.03,7.75
100,absolute_error,19,5.75,18,37.5,100.0,0.0
60,poisson,18,10.0,8,25.0,73.72,7.54
70,squared_error,10,1.0,10,0.0,75.38,7.03
70,absolute_error,17,2.0,17,37.5,100.0,0.0
140,poisson,2,9.5,3,25.0,73.46,7.61
140,absolute_error,5,7.25,15,37.5,100.0,0.0
60,poisson,14,8.25,12,25.0,74.01,7.45
140,absolute_error,2,8.5,4,37.5,100.0,0.0
120,absolute_error,18,3.25,11,37.5,100.0,0.0
140,poisson,2,1.25,9,25.0,74.18,7.95
140,squared_error,9,1.75,13,0.0,75.19,7.09
190,squared_error,13,8.75,4,25.0,72.86,7.8
60,poisson,20,1.75,17,25.0,71.38,8.26
160,absolute_error,3,2.25,16,37.5,100.0,0.0
50,squared_error,20,0.75,19,25.0,69.61,8.82
180,squared_error,13,5.75,4,25.0,73.92,7.48
170,poisson,18,8.5,11,0.0,75.8,6.9
200,poisson,1,9.75,13,25.0,72.82,7.82
90,squared_error,13,9.5,20,25.0,74.1,7.42
60,absolute_error,12,8.75,3,37.5,100.0,0.0
10,poisson,10,6.5,11,0.0,76.32,6.74
40,squared_error,6,7.5,1,0.0,76.64,6.64
10,squared_error,17,6.0,5,0.0,83.77,4.52
160,absolute_error,5,5.0,2,37.5,100.0,0.0
20,absolute_error,20,9.5,13,37.5,100.0,0.0
10,squared_error,3,5.25,1,25.0,71.39,8.26
110,squared_error,16,2.25,16,25.0,72.15,8.02
100,poisson,10,3.0,15,0.0,75.77,6.91
90,poisson,2,0.0,12,12.5,68.92,18.35
180,absolute_error,19,2.0,3,37.5,100.0,0.0
20,absolute_error,4,3.5,18,37.5,100.0,0.0
10,poisson,14,8.25,15,0.0,77.63,6.34
180,poisson,13,2.5,18,25.0,73.53,7.6
110,absolute_error,20,10.0,18,37.5,100.0,0.0
10,absolute_error,14,9.0,14,37.5,100.0,0.0
130,absolute_error,8,1.25,1,37.5,100.0,0.0
90,squared_error,20,1.0,7,25.0,71.88,8.11
200,squared_error,9,8.5,14,25.0,72.52,7.91
180,absolute_error,3,1.25,4,37.5,100.0,0.0
150,absolute_error,7,9.0,13,0.0,99.72,0.07
10,squared_error,5,9.0,11,0.0,76.32,6.74
70,squared_error,6,9.25,18,25.0,72.49,7.92
170,poisson,3,2.5,3,0.0,75.35,7.04
80,squared_error,2,4.5,1,0.0,77.44,8.13
30,squared_error,18,0.75,11,25.0,70.18,8.64
90,poisson,2,1.75,18,0.0,75.54,6.98
20,poisson,4,1.5,17,25.0,71.38,8.26
50,squared_error,9,0.75,20,25.0,74.78,7.21
160,squared_error,20,4.25,15,25.0,72.37,7.95
110,poisson,20,2.25,4,25.0,73.17,7.71
40,absolute_error,7,7.0,18,37.5,100.0,0.0
170,poisson,1,3.0,16,25.0,71.07,8.36
60,squared_error,19,7.5,15,25.0,69.81,8.76
130,squared_error,4,0.25,5,25.0,66.69,4.33
200,absolute_error,3,6.5,9,37.5,100.0,0.0
50,absolute_error,1,9.75,13,37.5,100.0,0.0
60,poisson,4,6.5,1,25.0,74.23,7.38
130,absolute_error,16,5.25,19,37.5,100.0,0.0
120,squared_error,4,5.5,8,25.0,73.3,7.67
180,poisson,3,8.0,7,25.0,73.23,7.69
200,squared_error,2,5.75,3,25.0,75.02,7.88
140,squared_error,17,6.5,2,25.0,73.78,7.52
150,squared_error,18,7.75,1,25.0,73.32,7.66
90,absolute_error,19,4.0,8,0.0,99.54,0.12
120,squared_error,20,9.75,2,0.0,75.68,6.94
150,poisson,14,8.75,3,25.0,72.16,8.02
120,absolute_error,17,8.75,2,37.5,100.0,0.0
20,poisson,17,2.75,7,0.0,77.52,6.38
120,absolute_error,14,3.5,4,37.5,100.0,0.0
20,poisson,16,9.25,20,25.0,73.46,7.61
40,squared_error,9,2.5,20,0.0,79.5,5.78
50,squared_error,18,0.5,8,25.0,69.78,8.76
150,absolute_error,17,7.25,15,0.0,99.44,0.15
10,absolute_error,12,7.5,8,37.5,100.0,0.0
150,poisson,6,5.0,7,25.0,73.29,7.67
120,poisson,4,8.25,1,25.0,73.28,7.67
140,absolute_error,20,0.0,12,37.5,100.0,0.0
50,poisson,15,4.25,5,25.0,74.39,7.33
60,poisson,5,2.25,5,25.0,74.42,7.32
100,squared_error,14,4.75,16,25.0,74.12,7.41
150,absolute_error,15,4.5,2,0.0,99.72,0.07
190,absolute_error,17,5.25,4,0.0,99.78,0.06
190,absolute_error,6,5.5,11,37.5,100.0,0.0
40,poisson,19,6.0,12,25.0,71.6,8.19
80,poisson,17,9.0,15,0.0,75.44,7.01
140,absolute_error,11,7.0,9,37.5,100.0,0.0
70,absolute_error,18,7.5,12,0.0,99.4,0.16
110,absolute_error,2,6.75,7,37.5,100.0,0.0
110,squared_error,9,4.75,6,25.0,74.28,7.36
150,poisson,9,3.25,16,0.0,75.42,7.01
90,poisson,13,9.25,3,0.0,75.51,6.99
20,absolute_error,16,10.0,4,37.5,100.0,0.0
120,absolute_error,16,9.5,19,37.5,100.0,0.0
170,poisson,3,8.25,15,25.0,71.13,8.34
30,absolute_error,14,0.75,20,37.5,100.0,0.0
110,squared_error,8,8.0,14,25.0,73.54,7.59
110,poisson,9,3.5,20,25.0,73.88,7.49
130,squared_error,13,0.0,6,25.0,73.77,7.52
170,poisson,8,7.5,16,0.0,75.81,6.89
160,squared_error,11,6.75,19,25.0,74.11,7.42
130,absolute_error,6,6.75,7,37.5,100.0,0.0
100,poisson,5,1.75,3,0.0,77.61,6.35
80,poisson,14,2.75,11,25.0,73.27,7.67
110,squared_error,9,4.25,18,25.0,74.54,7.28
160,squared_error,14,6.75,15,0.0,75.3,7.05
130,squared_error,12,1.5,8,25.0,73.3,7.67
180,squared_error,8,1.5,20,25.0,74.35,7.34
150,absolute_error,18,8.5,19,0.0,99.44,0.15
20,absolute_error,18,4.0,8,37.5,100.0,0.0
80,poisson,10,0.5,19,25.0,72.62,7.88
80,poisson,7,9.75,13,0.0,75.05,7.13
200,absolute_error,17,8.0,20,37.5,100.0,0.0
170,poisson,11,7.75,16,25.0,73.84,7.5
160,poisson,7,7.75,6,25.0,72.03,8.06
190,squared_error,8,4.25,4,0.0,75.69,6.93
40,absolute_error,20,8.5,12,37.5,100.0,0.0
200,absolute_error,13,8.25,14,37.5,100.0,0.0
130,poisson,13,7.25,11,25.0,73.31,7.66
150,squared_error,20,4.75,13,25.0,74.14,7.41
40,squared_error,13,5.5,19,0.0,76.86,6.58
80,squared_error,12,8.5,15,0.0,75.96,6.85
20,poisson,5,7.0,11,25.0,66.45,9.83
160,absolute_error,18,8.5,4,0.0,99.74,0.07
150,squared_error,14,2.75,3,25.0,72.84,7.81
80,absolute_error,6,1.25,6,37.5,100.0,0.0
170,squared_error,14,4.0,18,25.0,72.61,7.88
170,squared_error,3,3.5,15,25.0,70.38,9.99
170,poisson,17,9.0,17,25.0,73.85,7.5
120,absolute_error,10,1.0,11,0.0,99.31,0.19
130,poisson,9,2.25,4,0.0,75.73,6.92
180,absolute_error,12,2.5,1,0.0,99.77,0.06
70,poisson,9,2.25,18,25.0,73.09,7.73
130,absolute_error,8,5.0,5,37.5,100.0,0.0
40,poisson,4,6.0,14,0.0,78.89,5.96
20,poisson,11,2.0,5,25.0,63.16,10.89
180,absolute_error,14,1.25,5,0.0,99.54,0.12
50,poisson,16,1.0,17,25.0,73.77,7.52
80,absolute_error,8,0.5,20,37.5,100.0,0.0
40,squared_error,9,0.25,4,25.0,70.34,8.59
30,squared_error,6,5.75,5,25.0,72.95,7.77
160,squared_error,13,2.0,7,0.0,76.15,6.79
190,poisson,7,1.75,15,25.0,73.72,7.54
170,absolute_error,6,0.0,1,0.0,95.83,0.17
130,poisson,13,4.0,17,25.0,72.47,7.92
20,squared_error,8,0.0,17,25.0,66.89,9.69
160,poisson,14,3.0,17,25.0,74.74,7.22
70,squared_error,17,8.0,19,25.0,72.84,7.81
150,squared_error,8,2.25,1,25.0,71.39,8.26
90,poisson,11,10.0,12,25.0,73.9,7.48
90,poisson,2,1.25,14,0.0,77.35,8.62
30,squared_error,5,9.75,10,25.0,74.27,7.37
120,poisson,18,0.25,1,25.0,72.53,7.9
10,absolute_error,11,0.5,16,37.5,100.0,0.0
150,poisson,10,4.0,9,25.0,69.3,8.92
180,absolute_error,4,10.0,9,37.5,100.0,0.0
150,poisson,4,3.5,7,25.0,71.73,8.15
90,absolute_error,17,8.75,4,37.5,100.0,0.0
110,poisson,7,8.25,13,0.0,75.36,7.03
140,absolute_error,4,8.75,7,37.5,100.0,0.0
150,absolute_error,18,3.25,2,37.5,100.0,0.0
10,poisson,12,8.5,19,0.0,76.32,6.74
190,absolute_error,16,4.75,14,37.5,100.0,0.0
80,poisson,18,6.0,1,25.0,73.27,7.67
110,absolute_error,6,3.75,17,0.0,99.62,0.1
190,absolute_error,7,9.25,14,0.0,99.78,0.06
200,poisson,4,10.0,11,25.0,73.8,7.51
200,squared_error,3,6.25,2,25.0,74.22,7.38
170,squared_error,5,7.25,16,25.0,71.76,8.14
150,absolute_error,12,3.0,1,37.5,100.0,0.0
160,poisson,15,2.25,9,25.0,73.48,7.61
80,absolute_error,15,5.5,3,37.5,100.0,0.0
160,squared_error,6,1.25,5,25.0,72.11,6.51
180,squared_error,3,2.0,16,0.0,77.61,9.52
100,squared_error,9,5.75,14,0.0,75.83,6.89
30,absolute_error,4,6.0,17,37.5,100.0,0.0
80,poisson,10,3.25,3,0.0,75.03,7.13
20,absolute_error,16,9.0,7,37.5,100.0,0.0
30,absolute_error,4,6.5,11,37.5,100.0,0.0
120,absolute_error,1,2.75,9,37.5,100.0,0.0
100,poisson,9,8.75,8,0.0,77.28,6.45
120,absolute_error,5,0.0,14,0.0,91.28,0.81
10,poisson,7,8.25,4,25.0,66.67,9.76
20,squared_error,13,3.0,16,0.0,75.44,7.01
170,absolute_error,16,7.25,6,37.5,100.0,0.0
190,squared_error,19,3.25,20,25.0,73.88,7.49
140,squared_error,2,9.0,5,25.0,73.25,7.68
130,absolute_error,19,9.0,1,0.0,99.68,0.09
110,poisson,9,4.0,9,25.0,71.29,8.29
200,squared_error,10,6.0,9,0.0,75.1,7.11
60,poisson,13,9.25,3,25.0,70.36,8.58
60,poisson,15,2.75,17,0.0,75.88,6.88
180,squared_error,18,7.25,8,25.0,73.46,7.61
30,absolute_error,15,7.25,9,37.5,100.0,0.0
30,absolute_error,13,9.0,6,37.5,100.0,0.0
160,squared_error,10,1.75,19,25.0,72.19,8.01
190,squared_error,12,9.0,15,25.0,73.95,7.47
200,absolute_error,15,7.0,16,37.5,100.0,0.0
90,poisson,20,1.5,12,25.0,74.34,7.34
180,squared_error,9,4.5,3,0.0,75.26,7.06
90,absolute_error,11,2.5,8,37.5,100.0,0.0
50,poisson,6,4.75,8,0.0,78.55,6.07
30,squared_error,9,8.75,5,0.0,79.61,5.75
160,absolute_error,7,5.5,19,0.0,99.74,0.07
110,absolute_error,12,7.0,18,0.0,99.62,0.1
140,squared_error,18,0.25,17,25.0,72.56,7.9
60,absolute_error,7,10.0,6,37.5,100.0,0.0
10,squared_error,8,7.5,2,25.0,69.3,8.92
180,poisson,3,3.0,17,25.0,72.04,8.06
190,squared_error,19,4.5,1,25.0,72.25,7.99
130,poisson,14,5.0,16,0.0,76.8,6.59
40,absolute_error,12,3.0,13,37.5,100.0,0.0
90,poisson,6,8.0,16,25.0,74.93,7.17
130,absolute_error,2,3.0,1,37.5,100.0,0.0
120,squared_error,5,7.75,4,25.0,71.25,8.3
130,squared_error,12,2.0,15,0.0,75.74,6.92
60,poisson,9,0.75,19,0.0,76.86,6.58
140,squared_error,8,4.0,11,25.0,74.62,7.26
30,absolute_error,6,1.25,5,0.0,98.61,0.37
130,absolute_error,9,7.75,20,0.0,99.68,0.09
10,squared_error,4,4.5,17,25.0,73.25,7.68
90,absolute_error,3,6.5,1,0.0,99.54,0.12
10,poisson,14,5.75,4,25.0,70.83,8.43
70,absolute_error,5,6.75,16,37.5,100.0,0.0
10,absolute_error,11,5.5,9,37.5,100.0,0.0
130,squared_error,5,0.0,14,25.0,67.42,4.79
180,poisson,6,0.0,1,25.0,75.38,7.16
70,squared_error,1,4.25,4,0.0,77.62,11.82
150,poisson,20,10.0,7,25.0,71.36,8.27
30,absolute_error,20,5.75,6,37.5,100.0,0.0
50,poisson,1,2.25,3,25.0,74.17,7.4
130,squared_error,10,3.25,9,0.0,75.91,6.86
190,squared_error,18,6.0,14,25.0,73.22,7.69
60,absolute_error,6,3.25,13,0.0,99.31,0.19
110,absolute_error,17,9.75,17,37.5,100.0,0.0
40,squared_error,8,0.75,5,0.0,75.93,6.86
70,squared_error,9,4.25,14,0.0,76.44,6.7
50,poisson,5,0.75,16,25.0,74.13,6.69
10,poisson,18,10.0,18,25.0,68.42,9.2
30,absolute_error,9,3.75,10,37.5,100.0,0.0
150,squared_error,9,8.25,18,25.0,72.82,7.81
190,poisson,4,4.25,6,25.0,74.04,7.44
30,squared_error,12,7.75,9,25.0,72.95,7.77
190,absolute_error,14,4.5,17,37.5,100.0,0.0
140,squared_error,1,4.5,17,0.0,76.59,12.44
50,absolute_error,3,6.25,17,37.5,100.0,0.0
20,squared_error,5,7.0,8,0.0,75.11,7.11
40,squared_error,5,9.25,7,25.0,71.0,8.38
60,squared_error,1,4.0,20,0.0,77.1,8.07
140,absolute_error,6,7.0,14,0.0,99.4,0.16
60,poisson,5,9.5,18,0.0,76.21,6.77
170,poisson,3,2.5,20,25.0,73.32,7.66
90,squared_error,1,0.75,19,37.5,76.25,19.63
50,squared_error,10,7.75,9,25.0,68.99,9.01
130,poisson,11,0.0,16,25.0,72.66,7.87
180,poisson,6,1.25,9,25.0,73.77,7.52
30,squared_error,19,6.25,8,25.0,70.91,8.41
100,squared_error,6,1.5,9,25.0,70.19,8.28
200,squared_error,10,4.75,5,0.0,75.24,7.07
120,poisson,12,2.0,7,0.0,75.37,7.03
150,absolute_error,14,4.75,6,0.0,99.72,0.07
100,absolute_error,3,1.25,3,37.5,100.0,0.0
170,absolute_error,15,8.75,14,37.5,100.0,0.0
70,absolute_error,17,4.25,9,37.5,100.0,0.0
40,absolute_error,13,6.5,13,37.5,100.0,0.0
190,absolute_error,1,4.5,5,0.0,99.78,0.06
180,squared_error,8,2.75,8,25.0,73.84,7.5
10,absolute_error,11,0.0,20,37.5,100.0,0.0
70,squared_error,16,0.0,18,0.0,75.5,6.99
40,squared_error,5,1.75,7,25.0,74.95,6.86
90,poisson,9,9.75,17,0.0,75.07,7.12
80,absolute_error,18,6.5,5,37.5,100.0,0.0
90,absolute_error,15,1.75,19,37.5,100.0,0.0
